"Freq [GHz]","TEM mode []"
0.001,-122.445425353324
0.0084975,-103.859218743486
0.015995,-98.3643682158874
0.0234925,-95.0238744497763
0.03099,-92.6158294715629
0.0384875,-90.7310655547892
0.045985,-89.1817323942344
0.0534825,-87.8658183836718
0.06098,-86.7217014998279
0.0684775,-85.7092929010023
0.075975,-84.8010433256349
0.0834725,-83.9772040688557
0.09097,-83.2231347262768
0.0984675,-82.5276807572148
0.105965,-81.8821479207679
0.1134625,-81.2796286896097
0.12096,-80.7145439453019
0.1284575,-80.182323050396
0.135955,-79.6791748095213
0.1434525,-79.2019199637051
0.15095,-78.7478664054411
0.1584475,-78.3147146714695
0.165945,-77.9004853034283
0.1734425,-77.5034622715793
0.18094,-77.12214837859
0.1884375,-76.7552297221162
0.195935,-76.4015470936271
0.2034325,-76.0600727493943
0.21093,-75.7298913861783
0.2184275,-75.410184439827
0.225925,-75.1002170334812
0.2334225,-74.7993270560642
0.24092,-74.5069159667441
0.2484175,-74.2224410078445
0.255915,-73.9454085748108
0.2634125,-73.6753685426821
0.27091,-73.4119093879276
0.2784075,-73.1546539752831
0.285905,-72.9032559033412
0.2934025,-72.6573963210504
0.3009,-72.4167811325991
0.3083975,-72.1811389721047
0.315895,-71.9502173912592
0.3233925,-71.7237838483993
0.33089,-71.5016214969097
0.3383875,-71.2835287823425
0.345885,-71.0693179447724
0.3533825,-70.8588138264258
0.36088,-70.6518528078547
0.3683775,-70.4482818535749
0.375875,-70.2479576535436
0.3833725,-70.0507458490548
0.39087,-69.8565203332394
0.3983675,-69.6651626176794
0.405865,-69.4765612577597
0.4133625,-69.2906113303259
0.42086,-69.1072139580273
0.4283575,-68.9262758754202
0.435855,-68.7477090325036
0.4433525,-68.5714302318755
0.45085,-68.397360796146
0.4583475,-68.225426262632
0.465845,-68.0555561026935
0.4733425,-67.887683463368
0.48084,-67.7217449292175
0.4883375,-67.5576803025242
0.495835,-67.3954324001751
0.5033325,-67.2349468657426
0.51083,-67.0761719954298
0.5183275,-66.919058576677
0.525825,-66.7635597383522
0.5333225,-66.6096308115506
0.54082,-66.4572292001264
0.5483175,-66.3063142601601
0.555815,-66.1568471876435
0.5633125,-66.0087909137289
0.57081,-65.8621100069509
0.5783075,-65.7167705818802
0.585805,-65.5727402137205
0.5933025,-65.4299878583991
0.6008,-65.2884837777439
0.6082975,-65.1481994693725
0.615795,-65.0091076009511
0.6232925,-64.8711819485108
0.63079,-64.7343973385333
0.6382875,-64.5987295935408
0.645785,-64.4641554809493
0.6532825,-64.3306526649606
0.66078,-64.1981996612865
0.6682775,-64.0667757945164
