"Freq [GHz]","dB(S(waveport1:1,1)) []"
0.001,-95.5269023619716
0.0509975,-61.3765976517571
0.100995,-55.4435416767521
0.1509925,-51.9536849436598
0.20099,-49.4738427161118
0.2509875,-47.5501101644244
0.300985,-45.9793499908523
0.3509825,-44.6528998482646
0.40098,-43.5057750039884
0.4509775,-42.4959995603141
0.500975,-41.59487997691
0.5509725,-40.7819299397114
0.60097,-40.0420092270587
0.6509675,-39.3636098234736
0.700965,-38.737778085045
0.7509625,-38.1574091640908
0.80096,-37.6167693361209
0.8509575,-37.1111632354257
0.900955,-36.6366962574522
0.9509525,-36.1901012330256
1.00095,-35.7686095825928
1.0509475,-35.3698539232827
1.100945,-34.9917933463578
1.1509425,-34.6326553167452
1.20094,-34.2908899489332
1.2509375,-33.9651336271101
1.300935,-33.6541797700594
1.3509325,-33.3569551224682
1.40093,-33.0725003663295
1.4509275,-32.7999541424379
1.500925,-32.5385397879258
1.5509225,-32.2875542550797
1.60092,-32.0463587955063
1.6509175,-31.8143710833011
1.700915,-31.5910585190578
1.7509125,-31.3759325089372
1.80091,-31.1685435535897
1.8509075,-30.9684770134123
1.900905,-30.7753494415475
1.9509025,-30.5888053957855
2.0009,-30.4085146562791
2.0508975,-30.2341697886274
2.100895,-30.06548400209
2.1508925,-29.9021892609782
2.20089,-29.7440346140382
2.2508875,-29.5907847121856
2.300885,-29.4422184895274
2.3508825,-29.2981279863929
2.40088,-29.1583172962459
2.4508775,-29.0226016209804
2.500875,-28.8908064213076
2.5508725,-28.7627666507957
2.60087,-28.6383260636944
2.6508675,-28.5173365880012
2.700865,-28.3996577563579
2.7508625,-28.2851561883255
2.80086,-28.1737051184149
2.8508575,-28.0651839649498
2.900855,-27.9594779354537
2.9508525,-27.8564776647717
3.00085,-27.7560788825932
3.0508475,-27.6581821074333
3.100845,-27.562692364474
3.1508425,-27.4695189249601
3.20084,-27.3785750651069
3.2508375,-27.2897778427011
3.300835,-27.2030478897762
3.3508325,-27.1183092199168
3.40083,-27.0354890489009
3.4508275,-26.9545176275216
3.500825,-26.8753280855523
3.5508225,-26.7978562859206
3.60082,-26.7220406882531
3.6508175,-26.6478222210327
3.700815,-26.5751441616869
3.7508125,-26.503952023986
3.80081,-26.4341934521945
3.8508075,-26.3658181214646
3.900805,-26.298777644012
3.9508025,-26.2330254806529
4.0008,-26.1685168573197
4.0507975,-26.105208686205
4.100795,-26.0430594912151
4.1507925,-25.9820293374399
4.20079,-25.922079764371
4.2507875,-25.8631737226213
4.300785,-25.8052755139211
4.3507825,-25.7483507341797
4.40078,-25.6923662194229
4.4507775,-25.6372899944263
4.500775,-25.5830912238831
4.5507725,-25.5297401659519
4.60077,-25.4772081280453
4.6507675,-25.4254674247287
4.700765,-25.3744913376064
4.7507625,-25.3242540770839
4.80076,-25.2747307459003
4.8507575,-25.2258973043323
4.900755,-25.1777305369787
4.9507525,-25.1302080210403
5.00075,-25.0833080960132
5.0507475,-25.0370098347227
