"Freq [GHz]","TEM mode []"
0.1,-71.3347065084636
0.10225,-71.140475322442
0.1045,-70.9504600804336
0.10675,-70.7644818400925
0.109,-70.5823728243801
0.11125,-70.403975508515
0.1135,-70.2291417985759
0.11575,-70.0577322909367
0.118,-69.88961560317
0.12025,-69.7246677682984
0.1225,-69.5627716853255
0.12475,-69.4038166198821
0.127,-69.2476977495959
0.12925,-69.0943157494563
0.1315,-68.9435764130197
0.13375,-68.795390305795
0.136,-68.6496724475774
0.13825,-68.5063420208708
0.1405,-68.3653221028641
0.14275,-68.2265394187095
0.145,-68.0899241140966
0.14725,-67.9554095453358
0.1495,-67.8229320853522
0.15175,-67.692430944162
0.154,-67.5638480025469
0.15625,-67.4371276577778
0.1585,-67.3122166803506
0.16075,-67.1890640808017
0.163,-67.0676209857611
0.16525,-66.9478405224821
0.1675,-66.8296777111599
0.16975,-66.7130893644137
0.172,-66.5980339933674
0.17425,-66.4844717198135
0.1765,-66.372364193992
0.17875,-66.2616745175578
0.181,-66.1523671713479
0.18325,-66.0444079475919
0.1855,-65.9377638862415
0.18775,-65.832403215122
0.19,-65.7282952936314
0.19225,-65.6254105597394
0.1945,-65.5237204800538
0.19675,-65.4231975027451
0.199,-65.3238150131344
0.20125,-65.2255472917646
0.2035,-65.128369474791
0.20575,-65.0322575165374
0.208,-64.9371881540786
0.21025,-64.8431388737174
0.2125,-64.750087879236
0.21475,-64.6580140618112
0.217,-64.5668969714881
0.21925,-64.4767167901172
0.2215,-64.387454305666
0.22375,-64.299090887821
0.226,-64.2116084648041
0.22825,-64.1249895013311
0.2305,-64.0392169776452
0.23275,-63.9542743695636
0.235,-63.8701456294787
0.23725,-63.7868151682599
0.2395,-63.7042678380046
0.24175,-63.6224889155924
0.244,-63.5414640869958
0.24625,-63.4611794323091
0.2485,-63.3816214114528
0.25075,-63.3027768505209
0.253,-63.2246329287337
0.25525,-63.1471771659663
0.2575,-63.0703974108216
0.25975,-62.994281829219
0.262,-62.9188188934744
0.26425,-62.8439973718437
0.2665,-62.7698063185083
0.26875,-62.6962350639797
0.271,-62.6232732059026
0.27325,-62.550910600236
0.2755,-62.4791373527953
0.27775,-62.4079438111363
0.28,-62.3373205567662
0.28225,-62.2672583976642
0.2845,-62.1977483610985
0.28675,-62.1287816867255
0.289,-62.0603498199567
0.29125,-61.9924444055834
0.2935,-61.9250572816447
0.29575,-61.8581804735295
0.298,-61.7918061883012
0.30025,-61.7259268092352
0.3025,-61.6605348905598
0.30475,-61.5956231523913
0.307,-61.5311844758548
0.30925,-61.4672118983831
0.3115,-61.4036986091852
0.31375,-61.3406379448774
0.316,-61.2780233852707
0.31825,-61.2158485493064
0.3205,-61.1541071911355
0.32275,-61.0927931963343
0.325,-61.0319005782514
0.32725,-60.9714234744805
0.3295,-60.9113561434541
0.33175,-60.8516929611521
0.334,-60.7924284179223
0.33625,-60.733557115407
0.3385,-60.6750737635719
0.34075,-60.6169731778338
0.343,-60.559250276282
0.34525,-60.5019000769906
0.3475,-60.4449176954186
0.34975,-60.3882983418927
0.352,-60.3320373191718
0.35425,-60.2761300200882
0.3565,-60.220571925264
0.35875,-60.1653586008987
0.361,-60.1104856966265
0.36325,-60.0559489434395
0.3655,-60.0017441516755
0.36775,-59.9478672090674
0.37,-59.8943140788515
0.37225,-59.841080797934
0.3745,-59.7881634751119
0.37675,-59.7355582893478
0.379,-59.6832614880956
0.38125,-59.631269385676
0.3835,-59.5795783616995
0.38575,-59.5281848595359
0.388,-59.4770853848279
0.39025,-59.4262765040478
0.3925,-59.375754843096
0.39475,-59.3255170859391
0.397,-59.2755599732868
0.39925,-59.2258803013064
0.4015,-59.1764749203732
0.40375,-59.1273407338559
0.406,-59.0784746969359
0.40825,-59.0298738154588
