"Freq [GHz]","Antenna to Waveport 2 [rad]","Antenna to Waveport 1 [rad]"
0.1,-1.6706533159575,-1.71103539933599
0.10225,-1.67319391796947,-1.71447776207433
0.1045,-1.67573224518128,-1.71791778093303
0.10675,-1.67826847719508,-1.72135563173545
0.109,-1.68080277251358,-1.72479147000598
0.11125,-1.68333527110615,-1.7282254334539
0.1135,-1.68586609665602,-1.73165764414523
0.11575,-1.68839535853028,-1.73508821040365
0.118,-1.69092315350888,-1.73851722847622
0.12025,-1.69344956730329,-1.74194478399402
0.1225,-1.69597467589142,-1.74537095325406
0.12475,-1.69849854669185,-1.74879580434498
0.127,-1.70102123959703,-1.75221939813603
0.12925,-1.70354280788299,-1.75564178914637
0.1315,-1.70606329901036,-1.75906302630944
0.13375,-1.70858275532988,-1.76248315364509
0.136,-1.71110121470392,-1.76590221085091
0.13825,-1.7136187110539,-1.76932023382228
0.1405,-1.71613527484254,-1.77273725511001
0.14275,-1.71865093349852,-1.77615330432274
0.145,-1.72116571179045,-1.77956840848106
0.14725,-1.72367963215601,-1.78298259232877
0.1495,-1.7261927149916,-1.78639587860663
0.15175,-1.72870497890708,-1.78980828829298
0.154,-1.73121644094972,-1.79321984081512
0.15625,-1.73372711680092,-1.79663055423501
0.1585,-1.73623702094894,-1.80004044541227
0.16075,-1.73874616684043,-1.80344953014722
0.163,-1.7412545670132,-1.80685782330632
0.16525,-1.74376223321255,-1.81026533893207
0.1675,-1.74626917649296,-1.81367209033934
0.16975,-1.74877540730701,-1.81707809019958
0.172,-1.75128093558286,-1.82048335061454
0.17425,-1.75378577079187,-1.82388788318055
0.1765,-1.75628992200739,-1.8272916990448
0.17875,-1.75879339795575,-1.83069480895423
0.181,-1.7612962070606,-1.83409722329826
0.18325,-1.7637983574811,-1.83749895214584
0.1855,-1.76629985714499,-1.84090000527773
0.18775,-1.76880071377704,-1.84430039221445
0.19,-1.7713009349234,-1.84770012224051
0.19225,-1.77380052797252,-1.85109920442543
0.1945,-1.7762995001729,-1.85449764764177
0.19675,-1.77879785864823,-1.8578954605808
0.199,-1.78129561041015,-1.8612926517659
0.20125,-1.78379276236892,-1.86468922956414
0.2035,-1.78628932134246,-1.86808520219615
0.20575,-1.7887852940637,-1.87148057774461
0.208,-1.79128068718674,-1.87487536416146
0.21025,-1.79377550729179,-1.87826956927408
0.2125,-1.79626976088916,-1.88166320079053
0.21475,-1.79876345442244,-1.88505626630401
0.217,-1.80125659427092,-1.88844877329658
0.21925,-1.80374918675142,-1.8918407291424
0.2215,-1.80624123811968,-1.89523214111042
0.22375,-1.80873275457121,-1.89862301636662
0.226,-1.81122374224187,-1.90201336197596
0.22825,-1.81371420720813,-1.90540318490397
0.2305,-1.81620415548711,-1.90879249201818
0.23275,-1.8186935930364,-1.91218129008924
0.235,-1.82118252575378,-1.91556958579194
0.23725,-1.82367095947677,-1.9189573857061
0.2395,-1.82615889998213,-1.92234469631729
0.24175,-1.82864635298533,-1.92573152401755
0.244,-1.8311333241399,-1.92911787510595
0.24625,-1.83361981903685,-1.9325037557892
0.2485,-1.83610584320404,-1.93588917218217
0.25075,-1.83859140210557,-1.93927413030835
0.253,-1.84107650114121,-1.94265863610043
0.25525,-1.84356114564579,-1.94604269540072
0.2575,-1.84604534088876,-1.94942631396168
0.25975,-1.84852909207364,-1.95280949744645
0.262,-1.85101240433764,-1.95619225142931
0.26425,-1.85349528275123,-1.95957458139628
0.2665,-1.85597773231786,-1.96295649274564
0.26875,-1.85845975797367,-1.96633799078853
0.271,-1.86094136458721,-1.96971908074954
0.27325,-1.86342255695939,-1.97309976776734
0.2755,-1.86590333982323,-1.97648005689534
0.27775,-1.86838371784392,-1.97985995310233
0.28,-1.87086369561873,-1.98323946127324
0.28225,-1.8733432776771,-1.98661858620979
0.2845,-1.87582246848068,-1.98999733263127
0.28675,-1.87830127242354,-1.99337570517532
0.289,-1.8807796938323,-1.99675370839866
0.29125,-1.88325773696637,-2.00013134677795
0.2935,-1.88573540601824,-2.00350862471057
0.29575,-1.88821270511377,-2.00688554651546
0.298,-1.89068963831253,-2.01026211643402
0.30025,-1.89316620960821,-2.01363833863088
0.3025,-1.89564242292903,-2.01701421719488
0.30475,-1.89811828213816,-2.02038975613989
0.307,-1.90059379103422,-2.02376495940572
0.30925,-1.90306895335177,-2.02713983085905
0.3115,-1.90554377276186,-2.03051437429431
0.31375,-1.90801825287257,-2.03388859343463
0.316,-1.91049239722956,-2.03726249193274
0.31825,-1.9129662093167,-2.0406360733719
0.3205,-1.91543969255665,-2.04400934126684
0.32275,-1.91791285031153,-2.04738229906468
0.325,-1.9203856858835,-2.05075495014587
0.32725,-1.92285820251546,-2.05412729782511
0.3295,-1.9253304033917,-2.05749934535228
0.33175,-1.9278022916386,-2.06087109591338
0.334,-1.93027387032527,-2.06424255263143
0.33625,-1.9327451424643,-2.06761371856744
0.3385,-1.93521611101243,-2.07098459672125
0.34075,-1.93768677887123,-2.07435519003251
0.343,-1.94015714888788,-2.07772550138153
0.34525,-1.94262722385584,-2.08109553359024
0.3475,-1.94509700651557,-2.08446528942302
0.34975,-1.94756649955525,-2.08783477158762
0.352,-1.95003570561152,-2.09120398273604
0.35425,-1.9525046272702,-2.09457292546538
0.3565,-1.95497326706697,-2.09794160231872
0.35875,-1.95744162748815,-2.10131001578595
0.361,-1.95990971097138,-2.10467816830466
0.36325,-1.96237751990634,-2.1080460622609
0.3655,-1.96484505663548,-2.11141369999009
0.36775,-1.96731232345472,-2.11478108377775
0.37,-1.96977932261416,-2.1181482158604
0.37225,-1.97224605631877,-2.12151509842626
0.3745,-1.97471252672911,-2.12488173361612
0.37675,-1.97717873596203,-2.12824812352404
0.379,-1.9796446860913,-2.13161427019818
0.38125,-1.98211037914837,-2.13498017564151
0.3835,-1.98457581712301,-2.1383458418126
0.38575,-1.98704100196397,-2.14171127062629
0.388,-1.98950593557968,-2.14507646395448
0.39025,-1.99197061983887,-2.14844142362679
0.3925,-1.99443505657126,-2.15180615143131
0.39475,-1.99689924756818,-2.15517064911526
0.397,-1.99936319458322,-2.15853491838566
0.39925,-2.00182689933287,-2.16189896091007
0.4015,-2.00429036349711,-2.16526277831715
0.40375,-2.00675358872009,-2.16862637219742
0.406,-2.00921657661069,-2.1719897441038
0.40825,-2.01167932874313,-2.1753528955523
0.4105,-2.01414184665759,-2.17871582802266
0.41275,-2.01660413186079,-2.18207854295888
0.415,-2.01906618582656,-2.18544104176991
0.41725,-2.02152800999644,-2.18880332583019
0.4195,-2.02398960578021,-2.19216539648022
0.42175,-2.02645097455649,-2.19552725502719
0.424,-2.02891211767328,-2.19888890274549
0.42625,-2.03137303644847,-2.2022503408773
0.4285,-2.03383373217046,-2.20561157063308
0.43075,-2.0362942060986,-2.20897259319217
0.433,-2.03875445946377,-2.2123334097033
0.43525,-2.04121449346889,-2.21569402128506
0.4375,-2.04367430928943,-2.21905442902646
0.43975,-2.04613390807388,-2.22241463398744
0.442,-2.0485932909443,-2.22577463719928
0.44425,-2.05105245899678,-2.22913443966521
0.4465,-2.05351141330192,-2.23249404236075
0.44875,-2.05597015490529,-2.23585344623428
0.451,-2.05842868482797,-2.23921265220746
0.45325,-2.06088700406692,-2.24257166117568
0.4555,-2.0633451135955,-2.24593047400851
0.45775,-2.06580301436389,-2.24928909155012
0.46,-2.06826070729955,-2.25264751461975
0.46225,-2.07071819330764,-2.25600574401209
0.4645,-2.07317547327149,-2.25936378049771
0.46675,-2.07563254805295,-2.26272162482348
0.469,-2.0780894184929,-2.26607927771295
0.47125,-2.08054608541158,-2.26943673986676
0.4735,-2.08300254960905,-2.27279401196302
0.47575,-2.0854588118656,-2.27615109465771
0.478,-2.08791487294208,-2.279507988585
0.48025,-2.09037073358036,-2.28286469435769
0.4825,-2.09282639450367,-2.28622121256754
0.48475,-2.09528185641702,-2.28957754378561
0.487,-2.09773712000754,-2.29293368856263
0.48925,-2.10019218594484,-2.29628964742935
0.4915,-2.10264705488141,-2.29964542089687
0.49375,-2.10510172745297,-2.30300100945698
0.496,-2.10755620427881,-2.30635641358245
0.49825,-2.11001048596213,-2.30971163372744
0.5005,-2.11246457309042,-2.31306667032773
0.50275,-2.11491846623575,-2.31642152380106
0.505,-2.11737216595517,-2.31977619454748
0.50725,-2.11982567279097,-2.32313068294958
0.5095,-2.12227898727106,-2.32648498937286
0.51175,-2.12473210990925,-2.32983911416595
