"Freq [GHz]","dB(S(waveport1,antenna)) []"
0.001,-108.122951482426
0.0084975,-89.5371471024294
0.015995,-84.0433371271958
0.0234925,-80.7045202357032
0.03099,-78.2987878311496
0.0384875,-76.4169712037128
0.045985,-74.8712187825472
0.0534825,-73.5595174004208
0.06098,-72.4202433511918
0.0684775,-71.4133055573666
0.075975,-70.511152507612
0.0834725,-69.6940329005409
0.09097,-68.9473034866955
0.0984675,-68.2598066306085
0.105965,-67.6228448460027
0.1134625,-67.0295067839716
0.12096,-66.4742097045273
0.1284575,-65.9523787594111
0.135955,-65.4602184834292
0.1434525,-64.9945451062806
0.15095,-64.5526617921852
0.1584475,-64.1322641402297
0.165945,-63.7313675517275
0.1734425,-63.3482506606625
0.18094,-62.9814107443134
0.1884375,-62.6295281928217
0.195935,-62.2914379151355
0.2034325,-61.9661061172366
0.21093,-61.6526112851696
0.2184275,-61.35012849107
0.225925,-61.0579163488689
0.2334225,-60.7753061003381
0.24092,-60.5016924271439
0.2484175,-60.2365256713738
0.255915,-59.9793052131286
0.2634125,-59.7295738046196
0.27091,-59.4869126996318
0.2784075,-59.2509374480227
0.285905,-59.0212942491794
0.2934025,-58.7976567775894
0.3009,-58.5797234090215
0.3083975,-58.3672147881423
0.315895,-58.1598716883421
0.3233925,-57.9574531226332
0.33089,-57.7597346710839
0.3383875,-57.5665069956707
0.345885,-57.3775745178988
0.3533825,-57.1927542382434
0.36088,-57.0118746795413
0.3683775,-56.8347749390387
0.375875,-56.6613038359552
0.3833725,-56.4913191432441
0.39087,-56.3246868937611
0.3983675,-56.1612807523596
0.405865,-56.0009814465329
0.4133625,-55.8436762491754
0.42086,-55.6892585078375
0.4283575,-55.5376272155499
0.435855,-55.3886866188881
0.4433525,-55.2423458594648
0.45085,-55.0985186454881
0.4583475,-54.9571229504076
0.465845,-54.8180807360132
0.4733425,-54.6813176976416
0.48084,-54.5467630294083
0.4883375,-54.4143492076027
0.495835,-54.2840117905884
0.5033325,-54.1556892337208
0.51083,-54.02932271795
0.5183275,-53.9048559909124
0.525825,-53.782235219435
0.5333225,-53.6614088524824
0.54082,-53.5423274936722
0.5483175,-53.4249437825678
0.555815,-53.3092122840344
0.5633125,-53.1950893850074
0.57081,-53.0825331980891
0.5783075,-52.9715034714344
0.585805,-52.8619615044436
0.5933025,-52.7538700688163
0.6008,-52.6471933345638
0.6082975,-52.5418968006102
0.615795,-52.4379472296462
0.6232925,-52.3353125869248
0.63079,-52.2339619827185
0.6382875,-52.1338656181758
0.645785,-52.0349947343413
0.6532825,-51.937321564118
0.66078,-51.8408192869727
0.6682775,-51.7454619861962
0.675775,-51.6512246085497
0.6832725,-51.5580829261377
0.69077,-51.4660135003628
0.6982675,-51.3749936478263
0.705765,-51.2850014080508
0.7132625,-51.1960155129098
0.72076,-51.1080153576556
0.7282575,-51.0209809734469
0.735755,-50.9348930012857
0.7432525,-50.849732667274
0.75075,-50.7654817591151
0.7582475,-50.682122603782
0.765745,-50.5996380462853
0.7732425,-50.5180114294769
0.78074,-50.4372265748283
0.7882375,-50.3572677641279
0.795735,-50.2781197220466
0.8032325,-50.1997675995199
0.81073,-50.1221969579043
0.8182275,-50.0453937538626
0.825725,-49.9693443249392
0.8332225,-49.8940353757891
0.84072,-49.8194539650228
0.8482175,-49.7455874926372
0.855715,-49.6724236879992
0.8632125,-49.5999505983549
0.87071,-49.5281565778356
0.8782075,-49.4570302769364
0.885705,-49.3865606324418
0.8932025,-49.3167368577774
0.9007,-49.2475484337648
0.9081975,-49.1789850997607
0.915695,-49.1110368451602
0.9231925,-49.0436939012483
0.93069,-48.9769467333799
0.9381875,-48.9107860334756
0.945685,-48.8452027128156
0.9531825,-48.7801878951193
0.96068,-48.7157329098962
0.9681775,-48.651829286056
0.975675,-48.5884687457656
0.9831725,-48.5256431985416
0.99067,-48.4633447355678
0.9981675,-48.4015656242275
1.005665,-48.3402983028407
1.0131625,-48.2795353755972
1.02066,-48.2192696076771
1.0281575,-48.1594939205504
1.035655,-48.1002013874475
1.0431525,-48.0413852289935
1.05065,-47.9830388089997
1.0581475,-47.9251556304048
1.065645,-47.8677293313599
