"Freq [GHz]","ang_rad(S(waveport1,antenna)) [rad]","ang_rad(S(waveport2,antenna)) [rad]"
0.001,-1.57218022491849,-1.5720500628111
0.0084975,-1.58255203194969,-1.5814472790472
0.015995,-1.59292428106598,-1.5908447927977
0.0234925,-1.60329649080138,-1.60024226784765
0.03099,-1.61366864064323,-1.60963968634907
0.0384875,-1.62404071104055,-1.61903703005884
0.045985,-1.6344126828396,-1.62843428083437
0.0534825,-1.64478453720539,-1.63783142076437
0.06098,-1.65515625501862,-1.64722843159314
0.0684775,-1.66552781836094,-1.65662529619497
0.075975,-1.67589920867795,-1.66602199672147
0.0834725,-1.68627040797204,-1.67541851577984
0.09097,-1.69664139851763,-1.68481483613517
0.0984675,-1.70701216290354,-1.69421094074079
0.105965,-1.71738267084805,-1.70360678897324
0.1134625,-1.72775290929393,-1.71300238024753
0.12096,-1.73812286052166,-1.72239770081481
0.1284575,-1.74849250667467,-1.73179273365964
0.135955,-1.75886182879986,-1.7411874607093
0.1434525,-1.76923080811859,-1.75058186409443
0.15095,-1.7795994259013,-1.7599759260163
0.1584475,-1.78996766345897,-1.76936962873307
0.165945,-1.80033550214212,-1.77876295455488
0.1734425,-1.81070292334134,-1.78815588584159
0.18094,-1.82106990848824,-1.79754840500156
0.1884375,-1.83143643905668,-1.80694049449124
0.195935,-1.84180249656414,-1.81633213681523
0.2034325,-1.85216806257308,-1.82572331452667
0.21093,-1.86253311869248,-1.83511401022794
0.2184275,-1.87289764657931,-1.84450420657152
0.225925,-1.88326162794009,-1.85389388626098
0.2334225,-1.89362504453241,-1.86328303205211
0.24092,-1.9039878781665,-1.8726716267541
0.2484175,-1.91435011070683,-1.8820596532308
0.255915,-1.92471172407362,-1.89144709440201
0.2634125,-1.93507270024444,-1.90083393324483
0.27091,-1.9454330212558,-1.91022015279504
0.2784075,-1.95579266920464,-1.91960573614841
0.285905,-1.96615162624995,-1.92899066646215
0.2934025,-1.97650987461427,-1.9383749269563
0.3009,-1.98686739658526,-1.94775850091508
0.3083975,-1.99722417451723,-1.95714137168835
0.315895,-2.00758019083263,-1.96652352269299
0.3233925,-2.01793542802359,-1.97590493741424
0.33089,-2.02828986865339,-1.98528559940716
0.3383875,-2.038643495358,-1.99466549229797
0.345885,-2.04899629084749,-2.0040445997854
0.3533825,-2.05934823790754,-2.01342290564208
0.36088,-2.06969931940088,-2.02280039371586
0.3683775,-2.0800495182687,-2.03217704793115
0.375875,-2.09039881753212,-2.04155285229024
0.3833725,-2.10074720029359,-2.05092779087461
0.39087,-2.11109464973825,-2.0603018478462
0.3983675,-2.12144114913534,-2.0696750074487
0.405865,-2.13178668183959,-2.0790472540088
0.4133625,-2.14213123129254,-2.08841857193744
0.42086,-2.15247478102387,-2.09778894573102
0.4283575,-2.16281731465276,-2.10715835997262
0.435855,-2.17315881588917,-2.11652679933319
0.4433525,-2.18349926853514,-2.12589424857271
0.45085,-2.19383865648605,-2.13526069254135
0.4583475,-2.20417696373192,-2.14462611618062
0.465845,-2.21451417435859,-2.15399050452445
0.4733425,-2.224850272549,-2.16335384270031
0.48084,-2.23518524258437,-2.17271611593031
0.4883375,-2.24551906884539,-2.18207730953219
0.495835,-2.25585173581343,-2.19143740892043
0.5033325,-2.26618322807162,-2.20079639960723
0.51083,-2.27651353030607,-2.21015426720348
0.5183275,-2.28684262730696,-2.21951099741979
0.525825,-2.29717050396961,-2.22886657606743
0.5333225,-2.3074971452956,-2.23822098905922
0.54082,-2.31782253639385,-2.24757422241049
0.5483175,-2.32814666248161,-2.25692626223995
0.555815,-2.33846950888555,-2.26627709477057
0.5633125,-2.34879106104273,-2.27562670633039
0.57081,-2.35911130450158,-2.28497508335339
0.5783075,-2.36943022492293,-2.29432221238028
0.585805,-2.37974780808089,-2.30366808005925
0.5933025,-2.39006403986382,-2.31301267314675
0.6008,-2.40037890627524,-2.32235597850823
0.6082975,-2.41069239343472,-2.33169798311884
0.615795,-2.42100448757874,-2.34103867406412
0.6232925,-2.43131517506156,-2.35037803854066
0.63079,-2.44162444235603,-2.35971606385676
0.6382875,-2.45193227605444,-2.36905273743301
0.645785,-2.46223866286925,-2.37838804680294
0.6532825,-2.47254358963393,-2.38772197961354
0.66078,-2.48284704330364,-2.39705452362585
0.6682775,-2.49314901095604,-2.40638566671545
0.675775,-2.50344947979191,-2.41571539687297
0.6832725,-2.51374843713591,-2.4250437022046
0.69077,-2.52404587043721,-2.43437057093249
0.6982675,-2.53434176727013,-2.44369599139522
0.705765,-2.54463611533481,-2.45301995204819
0.7132625,-2.55492890245774,-2.462342441464
0.72076,-2.5652201165924,-2.47166344833281
0.7282575,-2.57550974581983,-2.4809829614627
0.735755,-2.5857977783491,-2.49030096977992
0.7432525,-2.5960842025179,-2.49961746232923
0.75075,-2.60636900679298,-2.50893242827416
0.7582475,-2.61665217977068,-2.51824585689721
0.765745,-2.62693371017735,-2.5275577376001
0.7732425,-2.63721358686976,-2.53686805990394
0.78074,-2.64749179883557,-2.54617681344942
0.7882375,-2.65776833519365,-2.55548398799693
0.795735,-2.66804318519452,-2.56478957342668
0.8032325,-2.67831633822062,-2.57409355973883
0.81073,-2.6885877837867,-2.5833959370535
