"Freq [GHz]","dB(S(waveport1,antenna)) []"
0.001,-115.6340751588
0.0084975,-97.0506008345145
0.015995,-91.5567595705602
0.0234925,-88.2178785131998
0.03099,-85.8120554448965
0.0384875,-83.9301224896355
0.045985,-82.3842282276377
0.0534825,-81.0723594970578
0.06098,-79.9328923827606
0.0684775,-78.9257358549662
0.075975,-78.0233381720484
0.0834725,-77.2059478700819
0.09097,-76.4589215108214
0.0984675,-75.7711012474791
0.105965,-75.13379170002
0.1134625,-74.5400810136991
0.12096,-73.9843857214536
0.1284575,-73.4621311206348
0.135955,-72.9695217236737
0.1434525,-72.5033737581742
0.15095,-72.0609903879986
0.1584475,-71.6400672122883
0.165945,-71.2386196325657
0.1734425,-70.8549262831036
0.18094,-70.4874844415234
0.1884375,-70.1349744983532
0.195935,-69.7962313629671
0.2034325,-69.4702212418121
0.21093,-69.1560226214368
0.2184275,-68.8528105745206
0.225925,-68.5598437155803
0.2334225,-68.2764532870167
0.24092,-68.0020339711702
0.2484175,-67.7360361108503
0.255915,-67.4779590869292
0.2634125,-67.2273456524416
0.27091,-66.9837770620506
0.2784075,-66.7468688665486
0.285905,-66.5162672663174
0.2934025,-66.291645936901
0.3009,-66.0727032551898
0.3083975,-65.8591598670392
0.315895,-65.6507565470987
0.3233925,-65.4472523097122
0.33089,-65.248422736355
0.3383875,-65.0540584904877
0.345885,-64.8639639951791
0.3533825,-64.6779562525476
0.36088,-64.4958637871524
0.3683775,-64.3175256980368
0.375875,-64.1427908062792
0.3833725,-63.9715168867208
0.39087,-63.8035699740468
0.3983675,-63.6388237345955
0.405865,-63.4771588957702
0.4133625,-63.3184627185763
0.42086,-63.1626288660338
0.4283575,-63.0095555822368
0.435855,-62.8591477469055
0.4433525,-62.7113143410054
0.45085,-62.5659690689697
0.4583475,-62.4230299059299
0.465845,-62.2824188165111
0.4733425,-62.144061499338
0.48084,-62.0078871520826
0.4883375,-61.8738282547989
0.495835,-61.7418203698004
0.5033325,-61.6118019565697
0.51083,-61.4837142003596
0.5183275,-61.3575008532853
0.525825,-61.2331080868314
0.5333225,-61.1104843548016
0.54082,-60.9895802658386
0.5483175,-60.8703484647201
0.555815,-60.7527435217191
0.5633125,-60.6367218293774
0.57081,-60.5222415061054
0.5783075,-60.4092623060736
0.585805,-60.2977455349092
0.5933025,-60.1876539707546
0.6008,-60.0789517902847
0.6082975,-59.971604499313
0.615795,-59.8655788676493
0.6232925,-59.7608428679012
0.63079,-59.6573656179349
0.6382875,-59.5551173267378
0.645785,-59.4540692434424
0.6532825,-59.3541936092942
0.66078,-59.2554636123616
0.6682775,-59.1578533448013
0.675775,-59.0613377625094
0.6832725,-58.9658926469994
0.69077,-58.871494569362
0.6982675,-58.7781208561706
0.705765,-58.6857495572093
0.7132625,-58.5943594149069
0.72076,-58.5039298353702
0.7282575,-58.4144408609171
0.735755,-58.3258731440175
0.7432525,-58.2382079225563
0.75075,-58.1514269963389
0.7582475,-58.065512704765
0.765745,-57.9804479056018
0.7732425,-57.8962159547924
0.78074,-57.8128006872396
0.7882375,-57.7301863985082
0.795735,-57.6483578273955
0.8032325,-57.5673001393188
0.81073,-57.4869989104768
0.8182275,-57.4074401127399
0.825725,-57.3286100992309
0.8332225,-57.2504955905586
0.84072,-57.1730836616682
0.8482175,-57.0963617292772
0.855715,-57.0203175398641
0.8632125,-56.9449391581822
0.87071,-56.8702149562714
0.8782075,-56.7961336029409
0.885705,-56.7226840537007
0.8932025,-56.6498555411178
0.9007,-56.5776375655757
0.9081975,-56.5060198864193
0.915695,-56.4349925134624
0.9231925,-56.3645456988442
0.93069,-56.2946699292144
0.9381875,-56.2253559182334
0.945685,-56.1565945993713
0.9531825,-56.0883771189921
0.96068,-56.0206948297095
0.9681775,-55.9535392840013
0.975675,-55.8869022280709
0.9831725,-55.8207755959452
0.99067,-55.7551515037956
0.9981675,-55.6900222444756
1.005665,-55.6253802822618
1.0131625,-55.5612182477918
1.02066,-55.4975289331887
1.0281575,-55.4343052873653
1.035655,-55.3715404114984
1.0431525,-55.3092275546677
1.05065,-55.2473601096509
1.0581475,-55.1859316088692
1.065645,-55.1249357204763
1.0731425,-55.0643662445843
1.08064,-55.0042171096229
1.0881375,-54.9444823688232
1.095635,-54.8851561968241
1.1031325,-54.8262328863942
1.11063,-54.7677068452647
1.1181275,-54.7095725930704
1.125625,-54.651824758392
1.1331225,-54.5944580758981
1.14062,-54.5374673835809
1.1481175,-54.4808476200832
1.155615,-54.4245938221132
1.1631125,-54.3687011219418
1.17061,-54.3131647449825
1.1781075,-54.2579800074472
1.185605,-54.2031423140776
1.1931025,-54.148647155948
1.2006,-54.0944901083373
1.2080975,-54.0406668286675
1.215595,-53.9871730545062
1.2230925,-53.9340046016304
1.23059,-53.8811573621505
1.2380875,-53.8286273026903
1.245585,-53.7764104626232
1.2530825,-53.7245029523613
1.26058,-53.6729009516947
1.2680775,-53.6216007081818
1.275575,-53.5705985355856
1.2830725,-53.5198908123573
1.29057,-53.4694739801635
1.2980675,-53.4193445424558
1.305565,-53.3694990630827
1.3130625,-53.3199341649407
1.32056,-53.2706465286635
1.3280575,-53.2216328913496
1.335555,-53.1728900453244
1.3430525,-53.1244148369377
1.35055,-53.0762041653951
1.3580475,-53.0282549816207
1.365545,-52.980564287152
1.3730425,-52.9331291330647
1.38054,-52.8859466189271
1.3880375,-52.8390138917824
1.395535,-52.7923281451583
1.4030325,-52.7458866181039
1.41053,-52.6996865942515
1.4180275,-52.6537254009032
1.425525,-52.6080004081421
1.4330225,-52.5625090279661
1.44052,-52.5172487134449
1.4480175,-52.4722169578981
1.455515,-52.4274112940951
1.4630125,-52.382829293475
1.47051,-52.3384685653864
1.4780075,-52.2943267563468
1.485505,-52.2504015493201
1.4930025,-52.2066906630125
1.5005,-52.1631918511857
1.5079975,-52.1199029019874
1.515495,-52.076821637298
1.5229925,-52.0339459120932
1.53049,-51.9912736138224
1.5379875,-51.9488026618018
1.545485,-51.9065310066222
1.5529825,-51.8644566295713
1.56048,-51.8225775420692
1.5679775,-51.7808917851173
1.575475,-51.7393974287607
1.5829725,-51.6980925715626
1.59047,-51.6569753400911
1.5979675,-51.6160438884179
1.605465,-51.5752963976285
1.6129625,-51.5347310753435
1.62046,-51.4943461552513
1.6279575,-51.4541398966506
1.635455,-51.4141105840041
1.6429525,-51.3742565265021
1.65045,-51.3345760576362
1.6579475,-51.2950675347851
1.665445,-51.255729338813
1.6729425,-51.216559873696
1.68044,-51.1775575662489
1.6879375,-51.1387208669354
1.695435,-51.100048229663
1.7029325,-51.0615381803495
1.71043,-51.0231892087808
1.7179275,-50.9849998540723
1.725425,-50.9469686715156
1.7329225,-50.9090942362934
1.74042,-50.8713751433673
1.7479175,-50.8338100071949
1.755415,-50.7963974614243
1.7629125,-50.7591361585879
1.77041,-50.7220247698009
1.7779075,-50.6850619844638
1.785405,-50.6482465099716
1.7929025,-50.6115770714277
1.8004,-50.5750524113637
1.8078975,-50.5386712894649
1.815395,-50.5024324823005
1.8228925,-50.4663347830593
1.83039,-50.4303770012904
1.8378875,-50.3945579626493
1.845385,-50.3588765086475
1.8528825,-50.3233314964083
1.86038,-50.2879217984262
1.8678775,-50.2526463023309
1.875375,-50.2175039106561
1.8828725,-50.1824935406119
1.89037,-50.1476141238614
1.8978675,-50.1128646063019
1.905365,-50.0782439478494
1.9128625,-50.0437511222271
1.92036,-50.0093851167575
1.9278575,-49.9751449321588
1.935355,-49.9410295823434
1.9428525,-49.9070380942217
1.95035,-49.8731695075077
1.9578475,-49.8394228745286
1.965345,-49.8057972600377
1.9728425,-49.7722917410299
1.98034,-49.7389054065611
1.9878375,-49.7056373575693
1.995335,-49.6724867066999
2.0028325,-49.6394525781333
2.01033,-49.6065341074147
2.0178275,-49.5737304412877
2.025325,-49.5410407375298
2.0328225,-49.5084641647905
2.04032,-49.4759999024322
2.0478175,-49.4436471403731
2.055315,-49.4114050789335
2.0628125,-49.3792729286828
2.07031,-49.3472499102903
2.0778075,-49.3153352543775
2.085305,-49.2835282013728
2.0928025,-49.2518280013677
2.1003,-49.2202339139765
2.1077975,-49.1887452081963
2.115295,-49.1573611622702
2.1227925,-49.126081063552
2.13029,-49.0949042083729
2.1377875,-49.0638299019097
2.145285,-49.0328574580555
2.1527825,-49.0019861992914
2.16028,-48.9712154565605
2.1677775,-48.940544569143
2.175275,-48.909972884534
2.1827725,-48.8794997583215
2.19027,-48.8491245540672
2.1977675,-48.8188466431879
2.205265,-48.7886654048395
2.2127625,-48.7585802258012
2.22026,-48.728590500362
