Freq [GHz],"dB(S(waveport1,antenna)) []"
0.0001,-115.11107237658
0.00259975,-86.8124550090001
0.0050995,-80.9605750109138
0.00759925,-77.49577879153
0.010099,-75.0257187175069
0.01259875,-73.1048559273254
0.0150985,-71.5328741496419
0.01759825,-70.2023318697667
0.020098,-69.0488621894476
0.02259775,-68.0308387111019
0.0250975,-67.1197833010248
0.02759725,-66.2953524272716
0.030097,-65.5425066078406
0.03259675,-64.8498130887934
0.0350965,-64.2083774527236
0.03759625,-63.6111436961935
0.040096,-63.0524200731486
0.04259575,-62.5275485880576
0.0450955,-62.0326688852067
0.04759525,-61.5645459223412
0.050095,-61.1204418070066
0.05259475,-60.6980188739313
0.0550945,-60.2952652883525
0.05759425,-59.9104371710001
0.060094,-59.5420130284851
0.06259375,-59.1886574770846
0.0650935,-58.8491920744397
0.06759325,-58.5225716507403
0.070093,-58.2078649402108
0.07259275,-57.9042386081121
0.0750925,-57.6109439830645
0.07759225,-57.3273059628249
0.080092,-57.0527136797814
0.08259175,-56.7866126014975
0.0850915,-56.5284978094408
0.08759125,-56.2779082511224
0.090091,-56.0344218012284
0.09259075,-55.797650998841
0.0950905,-55.5672393526414
0.09759025,-55.3428581256317
0.10009,-55.1242035468187
0.10258975,-54.9109942657016
0.1050895,-54.7029693129115
0.10758925,-54.499886105684
0.110089,-54.3015187768452
0.11258875,-54.1076566732634
0.1150885,-53.9181030192036
0.11758825,-53.7326737233185
0.120088,-53.5511963111439
0.12258775,-53.3735089675797
0.1250875,-53.1994596760331
0.12758725,-53.0289054427455
0.130087,-52.8617115963835
0.13258675,-52.6977511542986
0.1350865,-52.5369042479807
0.13758625,-52.3790576011939
0.140086,-52.2241040551007
0.14258575,-52.0719421353883
0.1450855,-51.9224756570161
0.14758525,-51.7756133627277
0.150085,-51.6312685919236
0.15258475,-51.489358976887
0.1550845,-51.349806163693
0.15758425,-51.2125355554347
0.160084,-51.0774760756573
0.16258375,-50.9445599501222
0.1650835,-50.8137225052219
0.16758325,-50.6849019815447
0.170083,-50.5580393612428
0.17258275,-50.4330782079959
0.1750825,-50.3099645184826
0.17758225,-50.188646584381
0.180082,-50.0690748640158
0.18258175,-49.9512018628527
0.1850815,-49.8349820221199
0.18758125,-49.7203716149006
0.190081,-49.6073286491047
0.19258075,-49.4958127767789
0.1950805,-49.3857852092661
0.19758025,-49.2772086377661
0.20008,-49.1700471588905
0.20257975,-49.06426620484
0.2050795,-48.9598324778634
0.20757925,-48.8567138886877
0.210079,-48.7548794986333
0.21257875,-48.6542994651532
0.2150785,-48.5549449905562
0.21757825,-48.4567882736924
0.220078,-48.3598024643997
0.22257775,-48.263961620522
0.2250775,-48.1692406673283
0.22757725,-48.0756153591733
0.230077,-47.9830622432523
0.23257675,-47.8915586253143
0.2350765,-47.8010825372089
0.23757625,-47.711612706149
0.240076,-47.6231285255828
0.24257575,-47.5356100275748
0.2450755,-47.4490378566021
0.24757525,-47.3633932446812
0.250075,-47.278657987744
0.25257475,-47.1948144231891
0.2550745,-47.1118454085387
0.25757425,-47.0297343011361
0.260074,-46.948464938824
0.26257375,-46.8680216215476
0.2650735,-46.7883890938285
0.26757325,-46.7095525280617
0.270073,-46.6314975085899
0.27257275,-46.5542100165107
0.2750725,-46.4776764151782
0.27757225,-46.4018834363598
0.280072,-46.3268181670146
0.28257175,-46.2524680366587
0.2850715,-46.178820805287
0.28757125,-46.1058645518232
0.290071,-46.033587663069
0.29257075,-45.9619788231274
0.2950705,-45.8910270032773
0.29757025,-45.8207214522737
0.30007,-45.7510516870549
0.30256975,-45.682007483835
0.3050695,-45.6135788695629
0.30756925,-45.5457561137299
0.310069,-45.4785297205089
0.31256875,-45.4118904212099
0.3150685,-45.3458291670355
0.31756825,-45.2803371221227
0.320068,-45.2154056568586
0.32256775,-45.1510263414546
0.3250675,-45.0871909397706
0.32756725,-45.0238914033744
0.330067,-44.9611198658276
0.33256675,-44.8988686371873
0.3350665,-44.8371301987139
0.33756625,-44.7758971977748
0.340066,-44.7151624429374
0.34256575,-44.6549188992414
0.3450655,-44.5951596836425
0.34756525,-44.5358780606219
0.350065,-44.4770674379519
0.35256475,-44.4187213626135
0.3550645,-44.360833516857
0.35756425,-44.3033977144025
0.360064,-44.2464078967711
0.36256375,-44.1898581297446
0.3650635,-44.133742599946
0.36756325,-44.0780556115373
0.370063,-44.0227915830288
0.37256275,-43.9679450441968
0.3750625,-43.9135106331031
0.37756225,-43.8594830932151
0.380062,-43.8058572706198
0.38256175,-43.75262811133
0.3850615,-43.6997906586779
0.38756125,-43.6473400507932
0.390061,-43.5952715181625
0.39256075,-43.5435803812669
0.3950605,-43.4922620482939
0.39756025,-43.4413120129227
0.40006,-43.3907258521779
0.40255975,-43.340499224351
0.4050595,-43.2906278669858
0.40755925,-43.241107594926
0.410059,-43.1919342984226
0.41255875,-43.143103941299
0.4150585,-43.0946125591714
0.41755825,-43.046456257723
0.420058,-42.9986312110294
0.42255775,-42.951133659934
0.4250575,-42.9039599104716
