"Freq [GHz]","TEM mode []"
0.001,-172.360561871219
0.0084975,-143.828227844253
0.015995,-133.125939749059
0.0234925,-126.510884095139
0.03099,-121.722544505308
0.0384875,-117.969828254815
0.045985,-114.884242530789
0.0534825,-112.26432675439
0.06098,-109.987930769797
0.0684775,-107.975405572306
0.075975,-106.17193174644
0.0834725,-104.538168882198
0.09097,-103.044928431386
0.0984675,-101.669956933376
0.105965,-100.395896843696
0.1134625,-99.2089638068549
0.12096,-98.09801257096
0.1284575,-97.05390732678
0.135955,-96.069067068663
0.1434525,-95.137131701354
0.15095,-94.2527132142451
0.1584475,-93.4112071751109
0.165945,-92.6086478069917
0.1734425,-91.8415950902837
0.18094,-91.1070457568087
0.1884375,-90.4023623546592
0.195935,-89.7252161528004
0.2034325,-89.0735407667845
0.21093,-88.4454941771494
0.2184275,-87.8394273814653
0.225925,-87.2538583366014
0.2334225,-86.6874501548461
0.24092,-86.138992746894
0.2484175,-85.6073872778468
0.255915,-85.0916329343224
0.2634125,-84.5908156022321
0.27091,-84.1040981334536
0.2784075,-83.6307119411326
0.285905,-83.1699497117569
0.2934025,-82.7211590605406
0.3009,-82.2837369872984
0.3083975,-81.8571250145934
0.315895,-81.4408049098237
0.3233925,-81.0342949090597
0.33089,-80.6371463736282
0.3383875,-80.2489408212677
0.345885,-79.8692872825976
0.3533825,-79.4978199410453
0.36088,-79.1341960205212
0.3683775,-78.7780938902749
0.375875,-78.4292113606768
0.3833725,-78.0872641472992
0.39087,-77.7519844837373
0.3983675,-77.4231198662154
0.405865,-77.1004319152328
0.4133625,-76.7836953413971
0.42086,-76.4726970042057
0.4283575,-76.1672350539326
0.435855,-75.867118147966
0.4433525,-75.5721647339885
0.45085,-75.2822023932846
0.4583475,-74.9970672382772
0.465845,-74.7166033591938
0.4733425,-74.4406623161726
0.48084,-74.1691026843874
0.4883375,-73.9017893025445
0.495835,-73.6385940671017
0.5033325,-73.3793935894967
0.51083,-73.124070508337
0.5183275,-72.8725124971572
0.525825,-72.6246120639386
0.5333225,-72.380266280989
0.54082,-72.1393765306785
0.5483175,-71.9018482682252
0.555815,-71.667590800479
0.5633125,-71.4365170794921
0.57081,-71.2085435097212
0.5783075,-70.9835897678048
0.585805,-70.7615786339441
0.5933025,-70.5424358340046
0.6008,-70.3260898915298
0.6082975,-70.1124719889325
0.615795,-69.9015158371852
0.6232925,-69.6931575533964
0.63079,-69.4873355457048
0.6382875,-69.2839904049734
0.645785,-69.0830648028071
0.6532825,-68.8845033954553
0.66078,-68.6882527331976
0.6682775,-68.4942611748399
0.675775,-68.3024788069809
0.6832725,-68.1128573677308
0.69077,-67.9253501745928
0.6982675,-67.7399120562359
0.705765,-67.5564992879117
0.7132625,-67.375069530282
0.72076,-67.1955817714447
0.7282575,-67.0179962719593
0.735755,-66.8422745126865
0.7432525,-66.6683791452719
0.75075,-66.4962739451148
0.7582475,-66.3259237666719
0.765745,-66.1572945009614
0.7732425,-65.9903530351347
0.78074,-65.8250672140005
0.7882375,-65.6614058033853
0.795735,-65.4993384552288
0.8032325,-65.3388356743149
0.81073,-65.1798687865485
0.8182275,-65.0224099086916
0.825725,-64.8664319194789
0.8332225,-64.711908432039
0.84072,-64.5588137675506
0.8482175,-64.4071229300667
0.855715,-64.2568115824477
0.8632125,-64.1078560233424
0.87071,-63.9602331651655
0.8782075,-63.8139205130174
0.885705,-63.6688961445005
0.8932025,-63.5251386903859
0.9007,-63.3826273160873
0.9081975,-63.2413417039029
0.915695,-63.1012620359868
0.9231925,-62.9623689780143
0.93069,-62.8246436635076
0.9381875,-62.6880676787901
0.945685,-62.5526230485392
0.9531825,-62.4182922219092
0.96068,-62.2850580591973
0.9681775,-62.1529038190285
0.975675,-62.0218131460333
0.9831725,-61.891770058998
0.99067,-61.7627589394639
0.9981675,-61.6347645207567
1.005665,-61.5077718774261
1.0131625,-61.3817664150768
1.02066,-61.2567338605748
1.0281575,-61.1326602526119
1.035655,-61.0095319326123
1.0431525,-60.8873355359672
1.05065,-60.7660579835836
1.0581475,-60.6456864737325
1.065645,-60.5262084741856
1.0731425,-60.4076117146267
1.08064,-60.289884179328
1.0881375,-60.1730141000788
1.095635,-60.0569899493567
1.1031325,-59.9418004337327
1.11063,-59.8274344874979
1.1181275,-59.7138812665059
1.125625,-59.6011301422201
1.1331225,-59.4891706959586
1.14062,-59.3779927133294
1.1481175,-59.2675861788468
1.155615,-59.1579412707238
1.1631125,-59.0490483558326
1.17061,-58.9408979848268
1.1781075,-58.8334808874193
1.185605,-58.7267879678103
1.1931025,-58.620810300259
1.2006,-58.515539124794
1.2080975,-58.4109658430578
1.215595,-58.3070820142788
1.2230925,-58.2038793513683
1.23059,-58.101349717136
