"Freq [GHz]","TEM mode []"
0.001,-108.064525108177
0.0084975,-89.478709110048
0.015995,-83.9848662241341
0.0234925,-80.6459962872382
0.03099,-78.2401907103956
0.0384875,-76.3582807878175
0.045985,-74.8124149523879
0.0534825,-73.5005800614168
0.06098,-72.3611522842346
0.0684775,-71.3540407032338
0.075975,-70.4516937159083
0.0834725,-69.6343600151821
0.09097,-68.8873963373352
0.0984675,-68.1996450297463
0.105965,-67.5624087870224
0.1134625,-66.9687763224754
0.12096,-66.4131646236927
0.1284575,-65.8909989931711
0.135955,-65.3984839488022
0.1434525,-64.9324357239648
0.15095,-64.4901574886077
0.1584475,-64.0693448482686
0.165945,-63.6680132111737
0.1734425,-63.2844412186045
0.18094,-62.9171261554935
0.1884375,-62.564748419979
0.195935,-62.2261429293424
0.2034325,-61.9002758982311
0.21093,-61.5862258216842
0.2184275,-61.2831677811586
0.225925,-60.9903604002319
0.2334225,-60.7071349306449
0.24092,-60.4328860643545
0.2484175,-60.167064154058
0.255915,-59.9091685907835
0.2634125,-59.6587421379854
0.27091,-59.4153660610059
0.2784075,-59.1786559215715
0.285905,-58.9482579312487
0.2934025,-58.7238457770121
0.3009,-58.5051178474239
0.3083975,-58.2917948002482
0.315895,-58.0836174222743
0.3233925,-57.8803447402132
0.33089,-57.6817523481293
0.3383875,-57.48763092229
0.345885,-57.2977848987844
0.3533825,-57.112031292961
0.36088,-56.9301986428182
0.3683775,-56.7521260610486
0.375875,-56.5776623826005
0.3833725,-56.4066653964355
0.39087,-56.2390011516951
0.3983675,-56.074543329792
0.405865,-55.9131726750503
0.4133625,-55.7547764774634
0.42086,-55.5992481019459
0.4283575,-55.4464865591552
0.435855,-55.2963961135522
0.4433525,-55.148885924891
0.45085,-55.0038697197737
0.4583475,-54.861265490293
0.465845,-54.7209952171279
0.4733425,-54.5829846147469
0.48084,-54.4471628966356
0.4883375,-54.3134625586893
0.495835,-54.1818191791089
0.5033325,-54.0521712333154
0.51083,-53.9244599225485
0.5183275,-53.7986290149545
0.525825,-53.6746246980871
0.5333225,-53.5523954418501
0.54082,-53.4318918710085
0.5483175,-53.3130666464784
0.555815,-53.195874354677
0.5633125,-53.0802714042888
0.57081,-52.9662159298563
0.5783075,-52.853667701663
0.585805,-52.7425880414204
0.5933025,-52.6329397433181
0.6008,-52.5246870000315
0.6082975,-52.4177953333185
0.615795,-52.3122315288681
