"Freq [GHz]","dB(S(waveport1:1,1)) []"
0.001,-119.646362433395
0.0509975,-85.4954184892522
0.100995,-79.5604967427086
0.1509925,-76.0675509055852
0.20099,-73.5833986724386
0.2509875,-71.6541400853593
0.300985,-70.0766441341206
0.3509825,-68.7422561128787
0.40098,-67.5860002455317
0.4509775,-66.5659109553405
0.500975,-65.6533061848311
0.5509725,-64.8277124254208
0.60097,-64.0740033849216
0.6509675,-63.3806861596083
0.700965,-62.7388232966108
0.7509625,-62.1413271906935
0.80096,-61.5824823601564
0.8509575,-61.057612628846
0.900955,-60.5628434733601
0.9509525,-60.0949286411804
1.00095,-59.651121247978
1.0509475,-59.2290763268859
1.100945,-58.826776047527
1.1509425,-58.4424715568077
1.20094,-58.0746371960817
1.2509375,-57.72193406285
1.300935,-57.3831807177655
1.3509325,-57.0573294188376
1.40093,-56.7434466767326
1.4509275,-56.4406972213691
1.500925,-56.148330685939
1.5509225,-55.8656704737537
1.60092,-55.5921043921344
1.6509175,-55.3270767271248
1.700915,-55.0700815009735
1.7509125,-54.8206567066988
1.80091,-54.5783793546012
1.8509075,-54.3428611972663
1.900905,-54.1137450245066
1.9509025,-53.8907014394326
2.0009,-53.6734260425851
2.0508975,-53.461636963668
2.100895,-53.2550726904548
2.1508925,-53.0534901532657
2.20089,-52.8566630300048
2.2508875,-52.6643802409466
2.300885,-52.4764446091436
2.3508825,-52.29267166498
2.40088,-52.1128885765179
2.4508775,-51.9369331901058
2.500875,-51.7646531678949
2.5508725,-51.595905210751
2.60087,-51.4305543566162
2.6508675,-51.2684733456968
2.700865,-51.1095420449856
2.7508625,-50.9536469255845
2.80086,-50.8006805871223
2.8508575,-50.6505413242649
2.900855,-50.5031327309266
2.9508525,-50.3583633383166
3.00085,-50.2161462834068
3.0508475,-50.0763990048058
3.100845,-49.9390429633648
3.1508425,-49.8040033851396
3.20084,-49.6712090245974
3.2508375,-49.5405919461854
3.300835,-49.4120873225763
3.3508325,-49.2856332480885
3.40083,-49.16117056593
3.4508275,-49.0386427080547
3.500825,-48.9179955465427
3.5508225,-48.7991772555221
3.60082,-48.6821381827485
3.6508175,-48.5668307300405
3.700815,-48.4532092418494
3.7508125,-48.3412299013065
3.80081,-48.2308506331529
3.8508075,-48.1220310130119
3.900805,-48.0147321825118
3.9508025,-47.9089167698119
4.0008,-47.8045488151216
4.0507975,-47.7015937008422
4.100795,-47.6000180859879
4.1507925,-47.4997898445759
4.20079,-47.4008780076984
4.2507875,-47.3032527090151
4.300785,-47.2068851334253
4.3507825,-47.1117474686974
4.40078,-47.0178128598544
4.4507775,-46.9250553661256
4.500775,-46.8334499202924
4.5507725,-46.74297229027
4.60077,-46.6535990427759
4.6507675,-46.5653075089503
4.700765,-46.4780757518022
4.7507625,-46.391882535364
4.80076,-46.3067072954478
4.8507575,-46.2225301119025
4.900755,-46.1393316822777
4.9507525,-46.0570932968108
5.00075,-45.9757968146538
5.0507475,-45.8954246412671
5.100745,-45.8159597069111
