"Freq [GHz]","TEM mode []"
0.1,-71.5737930615773
0.10225,-71.379749781983
0.1045,-71.1899251540452
0.10675,-71.0041401805851
0.109,-70.8222270330618
0.11125,-70.6440281384891
0.1135,-70.4693953579873
0.11575,-70.2981892461511
0.118,-70.1302783818747
0.12025,-69.9655387625113
0.1225,-69.8038532543046
0.12475,-69.6451110929282
0.127,-69.4892074287422
0.12925,-69.3360429120414
0.1315,-69.1855233141408
0.13375,-69.03755918064
0.136,-68.8920655136352
0.13825,-68.7489614800204
0.1405,-68.6081701433438
0.14275,-68.4696182169679
0.145,-68.333235836528
0.14725,-68.1989563499031
0.1495,-68.0667161231008
0.15175,-67.9364543606277
0.154,-67.8081129390629
0.15625,-67.6816362526836
0.1585,-67.5569710701085
0.16075,-67.4340664010237
0.163,-67.3128733721513
0.16525,-67.1933451116993
0.1675,-67.0754366416039
0.16975,-66.9591047769397
0.172,-66.8443080319331
0.17425,-66.731006532062
0.1765,-66.6191619317755
0.17875,-66.5087373374053
0.181,-66.39969723488
0.18325,-66.2920074218869
0.1855,-66.1856349441565
0.18775,-66.0805480355707
0.19,-65.9767160618232
0.19225,-65.8741094673813
0.1945,-65.7726997255192
0.19675,-65.6724592912112
0.199,-65.5733615566904
0.20125,-65.4753808094937
0.2035,-65.378492192828
0.20575,-65.2826716681042
0.208,-65.1878959794985
0.21025,-65.0941426204117
0.2125,-65.0013898017032
0.21475,-64.9096164215905
0.217,-64.818802037109
0.21925,-64.7289268370372
0.2215,-64.6399716161957
0.22375,-64.55191775104
0.226,-64.4647471764674
0.22825,-64.3784423637673
0.2305,-64.2929862996476
0.23275,-64.2083624662753
0.235,-64.1245548222715
0.23725,-64.0415477846092
0.2395,-63.9593262113597
0.24175,-63.8778753852434
0.244,-63.797180997938
0.24625,-63.7172291351043
0.2485,-63.6380062620896
0.25075,-63.5594992102728
0.253,-63.4816951640167
0.25525,-63.4045816481958
0.2575,-63.3281465162684
0.25975,-63.2523779388662
0.262,-63.1772643928738
0.26425,-63.1027946509734
0.2665,-63.0289577716304
0.26875,-62.9557430894995
0.271,-62.8831402062284
0.27325,-62.811138981641
0.2755,-62.7397295252801
0.27775,-62.6689021882937
0.28,-62.5986475556472
0.28225,-62.5289564386462
0.2845,-62.4598198677551
0.28675,-62.3912290856984
0.289,-62.32317554083
0.29125,-62.2556508807591
0.2935,-62.1886469462215
0.29575,-62.1221557651829
0.298,-62.0561695471661
0.30025,-61.9906806777912
0.3025,-61.9256817135179
0.30475,-61.8611653765835
0.307,-61.7971245501262
0.30925,-61.7335522734855
0.3115,-61.6704417376735
0.31375,-61.6077862810086
0.316,-61.5455793849042
0.31825,-61.4838146698076
0.3205,-61.422485891281
0.32275,-61.3615869362195
0.325,-61.3011118192006
0.32725,-61.2410546789588
0.3295,-61.1814097749814
0.33175,-61.1221714842196
0.334,-61.0633342979109
0.33625,-61.0048928185078
0.3385,-60.946841756709
0.34075,-60.8891759285886
0.343,-60.8318902528197
0.34525,-60.7749797479893
0.3475,-60.7184395299991
0.34975,-60.6622648095512
0.352,-60.6064508897141
0.35425,-60.5509931635658
0.3565,-60.4958871119118
0.35875,-60.4411283010747
0.361,-60.386712380753
0.36325,-60.3326350819464
0.3655,-60.2788922149449
0.36775,-60.2254796673795
0.37,-60.1723934023331
0.37225,-60.1196294565075
0.3745,-60.0671839384467
0.37675,-60.0150530268125
0.379,-59.963232968712
0.38125,-59.9117200780746
0.3835,-59.8605107340761
0.38575,-59.80960137961
0.388,-59.7589885198018
0.39025,-59.7086687205681
0.3925,-59.658638607215
0.39475,-59.6088948630784
0.397,-59.5594342282019
0.39925,-59.5102534980524
0.4015,-59.4613495222718
0.40375,-59.4127192034633
0.406,-59.364359496012
0.40825,-59.3162674049376
0.4105,-59.2684399847788
0.41275,-59.2208743385082
0.415,-59.1735676164768
0.41725,-59.1265170153867
0.4195,-59.079719777292
0.42175,-59.0331731886261
0.424,-58.9868745792545
0.42625,-58.9408213215536
0.4285,-58.8950108295129
0.43075,-58.8494405578611
0.433,-58.8041080012153
0.43525,-58.7590106932513
0.4375,-58.7141462058963
0.43975,-58.6695121485418
0.442,-58.6251061672768
0.44425,-58.5809259441402
0.4465,-58.5369691963924
0.44875,-58.4932336758052
0.451,-58.4497171679691
0.45325,-58.4064174916182
0.4555,-58.363332497972
0.45775,-58.3204600700928
0.46,-58.2777981222594
0.46225,-58.2353445993558
0.4645,-58.1930974762751
0.46675,-58.1510547573372
0.469,-58.1092144757213
0.47125,-58.0675746929113
0.4735,-58.0261334981547
0.47575,-57.9848890079344
0.478,-57.9438393654528
0.48025,-57.9029827401284
0.4825,-57.8623173271032
0.48475,-57.8218413467632
0.487,-57.7815530442682
0.48925,-57.7414506890938
0.4915,-57.7015325745832
0.49375,-57.6617970175096
0.496,-57.622242357648
0.49825,-57.582866957358
0.5005,-57.5436692011739
0.50275,-57.5046474954063
0.505,-57.4658002677508
0.50725,-57.4271259669064
0.5095,-57.3886230622018
0.51175,-57.3502900432309
0.514,-57.3121254194944
0.51625,-57.2741277200517
0.5185,-57.2362954931782
0.52075,-57.1986273060311
0.523,-57.1611217443228
0.52525,-57.1237774119998
0.5275,-57.0865929309301
0.52975,-57.0495669405964
0.532,-57.012698097796
0.53425,-56.9759850763466
0.5365,-56.9394265667993
0.53875,-56.9030212761566
0.541,-56.8667679275969
0.54325,-56.8306652602042
0.5455,-56.7947120287039
0.54775,-56.7589070032038
0.55,-56.7232489689405
0.55225,-56.6877367260307
0.5545,-56.6523690892278
