"Freq [GHz]","dB(S(waveport1,antenna)) []"
0.001,-186.793988349124
0.0084975,-152.831488995768
0.015995,-141.891281883741
0.0234925,-135.223616793981
0.03099,-130.415727023948
0.0384875,-126.653690016846
0.045985,-123.562957520124
0.0534825,-120.939912141212
0.06098,-118.661480853422
0.0684775,-116.647566298918
0.075975,-114.843110505654
0.0834725,-113.208636711809
0.09097,-111.714874094531
0.0984675,-110.339517350665
0.105965,-109.065177743362
0.1134625,-107.878037522521
0.12096,-106.766933964999
0.1284575,-105.722719931902
0.135955,-104.737806120995
0.1434525,-103.8058262488
0.15095,-102.921387613013
0.1584475,-102.079882171935
0.165945,-101.277341334926
0.1734425,-100.510322862751
0.18094,-99.7758217171421
0.1884375,-99.0711990205317
0.195935,-98.3941248831392
0.2034325,-97.7425319707736
0.21093,-97.1145774794666
0.2184275,-96.5086117540769
0.225925,-95.9231522047513
0.2334225,-95.3568614829428
0.24092,-94.8085291086041
0.2484175,-94.2770559136797
0.255915,-93.7614407992329
0.2634125,-93.2607694051986
0.27091,-92.7742043705669
0.2784075,-92.3009769234003
0.285905,-91.8403795885796
0.2934025,-91.3917598396262
0.3009,-90.9545145516255
0.3083975,-90.5280851369219
0.315895,-90.1119532651536
0.3233925,-89.7056370853684
0.33089,-89.3086878811554
0.3383875,-88.9206871005713
0.345885,-88.5412437115654
0.3533825,-88.1699918410146
0.36088,-87.8065886616366
0.3683775,-87.4507124961903
0.375875,-87.1020611126933
0.3833725,-86.7603501880144
0.39087,-86.4253119202722
0.3983675,-86.0966937730726
0.405865,-85.7742573368337
0.4133625,-85.4577772943374
0.42086,-85.1470404792637
0.4283575,-84.8418450178565
0.435855,-84.5419995450634
0.4433525,-84.2473224875292
0.45085,-83.9576414067135
0.4583475,-83.6727923961835
0.465845,-83.3926195278069
0.4733425,-83.1169743421589
0.48084,-82.8457153789756
0.4883375,-82.5787077439339
0.495835,-82.3158227084378
0.5033325,-82.0569373394383
0.51083,-81.801934156622
0.5183275,-81.5507008145762
0.525825,-81.3031298077771
0.5333225,-81.0591181964633
0.54082,-80.8185673516439
0.5483175,-80.5813827176615
0.555815,-80.347473590879
0.5633125,-80.1167529131935
0.57081,-79.8891370792013
0.5783075,-79.6645457559454
0.585805,-79.4429017142726
0.5933025,-79.2241306709137
0.6008,-79.0081611404806
0.6082975,-78.7949242966394
0.615795,-78.5843538417885
0.6232925,-78.3763858846212
0.63079,-78.1709588250085
0.6382875,-77.9680132456832
0.645785,-77.7674918102476
0.6532825,-77.5693391670686
0.66078,-77.3735018586551
0.6682775,-77.1799282361481
0.675775,-76.9885683785806
0.6832725,-76.7993740165913
0.69077,-76.612298460301
0.6982675,-76.4272965310816
0.705765,-76.2443244969684
0.7132625,-76.0633400114852
0.72076,-75.884302055667
0.7282575,-75.7071708830826
0.735755,-75.5319079676724
0.7432525,-75.3584759542306
0.75075,-75.1868386113717
0.7582475,-75.016960786834
0.765745,-74.8488083649814
0.7732425,-74.6823482263758
0.78074,-74.5175482092994
0.7882375,-74.3543770731159
0.795735,-74.1928044633652
0.8032325,-74.0328008784951
0.81073,-73.8743376381377
0.8182275,-73.7173868528461
0.825725,-73.561921395211
0.8332225,-73.4079148722823
0.84072,-73.255341599226
0.8482175,-73.1041765741497
0.855715,-72.9543954540367
0.8632125,-72.8059745317284
0.87071,-72.6588907139026
0.8782075,-72.5131214999954
0.885705,-72.3686449620189
0.8932025,-72.2254397252293
0.9007,-72.083484949603
0.9081975,-71.9427603120806
0.915695,-71.8032459895404
0.9231925,-71.6649226424666
0.93069,-71.5277713992798
0.9381875,-71.3917738412968
0.945685,-71.2569119882965
0.9531825,-71.1231682846759
0.96068,-70.9905255862315
0.9681775,-70.8589671480102
0.975675,-70.7284766297581
0.9831725,-70.5990379628418
0.99067,-70.4706356292734
0.9981675,-70.3432543114041
1.005665,-70.2168790825207
1.0131625,-70.0914953446496
1.02066,-69.9670888208674
1.0281575,-69.8436455461061
1.035655,-69.7211518581167
1.0431525,-69.5995943887234
1.05065,-69.4789600553813
1.0581475,-69.3592360530304
1.065645,-69.2404098462364
1.0731425,-69.1224691616051
1.08064,-69.0054019804621
1.0881375,-68.8891965317842
1.095635,-68.7738412853735
1.1031325,-68.659324945265
1.11063,-68.5456364433566
1.1181275,-68.4327649332536
1.125625,-68.3206997843189
1.1331225,-68.209430575921
1.14062,-68.0989470918709
1.1481175,-67.9892393150421
1.155615,-67.8802974221653
1.1631125,-67.7721117787914
1.17061,-67.6646729344165
1.1781075,-67.5579716177624
1.185605,-67.4519987322072
1.1931025,-67.3467453513595
1.2006,-67.2422027147717
1.2080975,-67.1383622237862
1.215595,-67.0352154375111
1.2230925,-66.9327540689189
1.23059,-66.8309699810646
1.2380875,-66.7298551834191
1.245585,-66.6294018283131
1.2530825,-66.5296022074878
1.26058,-66.4304487487485
1.2680775,-66.3319340127179
1.275575,-66.234050689685
1.2830725,-66.1367915965458
1.29057,-66.0401496738345
1.2980675,-65.9441179828399
1.305565,-65.8486897028048
1.3130625,-65.7538581282066
1.32056,-65.6596166661147
1.3280575,-65.5659588336232
1.335555,-65.4728782553554
1.3430525,-65.3803686610393
1.35055,-65.28842388315
1.3580475,-65.1970378546173
1.365545,-65.1062046065975
1.3730425,-65.0159182663054
1.38054,-64.9261730549058
1.3880375,-64.8369632854625
1.395535,-64.7482833609424
1.4030325,-64.6601277722733
1.41053,-64.5724910964537
1.4180275,-64.4853679947127
1.425525,-64.3987532107188
1.4330225,-64.3126415688356
1.44052,-64.2270279724236
1.4480175,-64.1419074021853
1.455515,-64.0572749145546
1.4630125,-63.9731256401266
1.47051,-63.889454782128
1.4780075,-63.8062576149271
1.485505,-63.7235294825807
1.4930025,-63.6412657974188
1.5005,-63.5594620386639
1.5079975,-63.4781137510859
1.515495,-63.3972165436897
1.5229925,-63.3167660884356
1.53049,-63.2367581189919
1.5379875,-63.1571884295169
1.545485,-63.0780528734721
1.5529825,-62.9993473624632
1.56048,-62.9210678651097
1.5679775,-62.8432104059419
1.575475,-62.7657710643238
1.5829725,-62.6887459734023
1.59047,-62.6121313190811
1.5979675,-62.5359233390193
1.605465,-62.4601183216527
1.6129625,-62.3847126052394
1.62046,-62.3097025769263
