"Freq [GHz]","TEM mode []"
0.0001,-171.780422914004
0.01009975,-131.694273237012
0.0200995,-125.716986423445
0.03009925,-122.209918376833
0.040099,-119.718836449149
0.05009875,-117.785579716553
0.0600985,-116.20558943907
0.07009825,-114.869596938058
0.080098,-113.712318515455
0.09009775,-112.691616922584
0.1000975,-111.778706630555
0.11009725,-110.95305070222
0.120097,-110.199477089162
0.13009675,-109.506461961892
0.1400965,-108.865045526638
0.15009625,-108.26812353039
0.160096,-107.709967741824
0.17009575,-107.1858919721
0.1800955,-106.692013647923
0.19009525,-106.225079899708
0.200095,-105.782338287773
0.21009475,-105.361439086647
0.2200945,-104.960360311649
0.23009425,-104.5773494177
0.240094,-104.210877410267
0.25009375,-103.859602326667
0.2600935,-103.522339881805
0.27009325,-103.198039656866
0.280093,-102.885765643457
0.29009275,-102.584679836541
0.3000925,-102.294030001252
0.31009225,-102.0131368895
0.320092,-101.741386086397
0.33009175,-101.478219635763
0.3400915,-101.223129334348
0.35009125,-100.975650961632
0.360091,-100.735359320603
0.37009075,-100.501863957803
0.3800905,-100.274805454213
0.39009025,-100.053852198024
0.40009,-99.838697566134
0.41008975,-99.6290574537884
0.4200895,-99.4246681020428
0.43008925,-99.2252841809922
0.440089,-99.0306770934845
0.45008875,-98.8406334695883
0.4600885,-98.6549538266556
0.47008825,-98.4734513736117
0.480088,-98.2959509412495
0.49008775,-98.122288022939
0.5000875,-97.9523079123649
0.51008725,-97.7858649267628
0.520087,-97.6228217056902
0.53008675,-97.4630485766972
0.5400865,-97.3064229803928
0.55008625,-97.1528289483639
0.560086,-97.0021566282333
0.57008575,-96.8543018508453
0.5800855,-96.7091657351842
0.59008525,-96.5666543271501
0.600085,-96.4266782687774
0.61008475,-96.2891524948738
0.6200845,-96.1539959544031
0.63008425,-96.0211313542321
0.640084,-95.8904849231287
0.65008375,-95.7619861941228
0.6600835,-95.6355678035473
0.67008325,-95.5111653052505
0.680083,-95.3887169986303
0.69008275,-95.2681637692766
0.7000825,-95.1494489411312
0.71008225,-95.0325181391833
0.720082,-94.9173191618144
0.73008175,-94.8038018619911
0.7400815,-94.6919180365829
0.75008125,-94.5816213231473
0.760081,-94.4728671035879
0.77008075,-94.3656124141444
0.7800805,-94.2598158612219
0.79008025,-94.1554375426125
0.80008,-94.0524389736996
0.81007975,-93.9507830182723
0.8200795,-93.8504338236099
0.83007925,-93.7513567595225
0.840079,-93.6535183610643
0.85007875,-93.5568862746555
0.8600785,-93.4614292073741
0.87007825,-93.3671168791953
0.880078,-93.2739199779756
0.89007775,-93.1818101169952
0.9000775,-93.0907597948853
0.91007725,-93.000742357781
0.920077,-92.911731963555
0.93007675,-92.8237035479941
0.9400765,-92.7366327927938
0.95007625,-92.6504960952564
0.960076,-92.5652705395825
0.97007575,-92.4809338696585
0.9800755,-92.3974644632462
0.99007525,-92.3148413074897
1.000075,-92.2330439756587
1.01007475,-92.1520526050556
1.0200745,-92.0718478760159
1.03007425,-91.9924109919387
1.040074,-91.9137236602873
1.05007375,-91.835768074503
1.0600735,-91.758526896779
1.07007325,-91.6819832416517
1.080073,-91.6061206603783
1.09007275,-91.5309231260013
1.1000725,-91.4563750191149
1.11007225,-91.3824611142954
1.120072,-91.3091665671362
1.13007175,-91.2364769018629
1.1400715,-91.1643779995017
1.15007125,-91.0928560865704
1.160071,-91.0218977242653
1.17007075,-90.9514897981192
1.1800705,-90.8816195081065
1.19007025,-90.8122743591733
1.20007,-90.7434421521715
1.21006975,-90.6751109751766
1.2200695,-90.6072691951722
1.23006925,-90.5399054500816
1.240069,-90.4730086411327
1.25006875,-90.4065679255375
1.2600685,-90.3405727094747
1.27006825,-90.2750126413608
1.280068,-90.2098776053963
1.29006775,-90.1451577153806
1.3000675,-90.0808433087898
1.31006725,-90.0169249411481
1.320067,-89.9533933809046
1.33006675,-89.8902396079257
1.3400665,-89.8274547519929
1.35006625,-89.7650302780796
1.360066,-89.7029576912348
1.37006575,-89.6412287582256
1.3800655,-89.5798354191594
1.39006525,-89.518769793155
1.400065,-89.4580241749487
1.41006475,-89.3975910311882
1.4200645,-89.3374629967978
1.43006425,-89.2776328714668
1.440064,-89.2180936162669
1.45006375,-89.1588383503988
1.4600635,-89.0998603480631
1.47006325,-89.0411530354502
1.480063,-88.982709987846
1.49006275,-88.9245249268479
1.5000625,-88.8665917176869
1.51006225,-88.8089043666514
1.520062,-88.7514570186088
1.53006175,-88.69424395462
1.5400615,-88.6372595896449
1.55006125,-88.5804984703329
1.560061,-88.523955272896
1.57006075,-88.4676248010619
1.5800605,-88.4115019841013
1.59006025,-88.355581874929
1.60006,-88.2998596482736
1.61005975,-88.2443305989141
1.6200595,-88.18899013998
