"Freq [GHz]","TEM mode []"
0.001,-111.591713409961
0.0084975,-93.0059989390639
0.015995,-87.5121380856964
0.0234925,-84.1732391252499
0.03099,-81.7673934286646
0.0384875,-79.8854322256099
0.045985,-78.3395038684027
0.0534825,-77.0275951195077
0.06098,-75.8880820398397
0.0684775,-74.8808735900032
0.075975,-73.9784180322212
0.0834725,-73.1609639103973
0.09097,-72.4138677977165
0.0984675,-71.7259718640232
0.105965,-71.0885806869427
0.1134625,-70.4947823737426
0.12096,-69.9389934955378
0.1284575,-69.4166393554006
0.135955,-68.9239244718404
0.1434525,-68.4576650788972
0.15095,-68.0151643472253
0.1584475,-67.5941178831135
0.165945,-67.1925410955856
0.1734425,-66.8087126267688
0.18094,-66.4411297624903
0.1884375,-66.0884729018343
0.195935,-65.7495769630794
0.2034325,-65.4234081619244
0.21093,-65.1090449945145
0.2184275,-64.8056625434697
0.225925,-64.5125194335887
0.2334225,-64.228946917894
0.24092,-63.9543396896857
0.2484175,-63.6881481030681
0.255915,-63.4298715505421
0.2634125,-63.1790527971025
0.27091,-62.9352731097013
0.2784075,-62.6981480517467
0.285905,-62.4673238365604
0.2934025,-62.2424741529486
0.3009,-62.0232973913831
0.3083975,-61.8095142116182
0.315895,-61.6008654025162
0.3233925,-61.3971099929467
0.33089,-61.1980235792199
0.3383875,-61.0033968399399
0.345885,-60.8130342136248
0.3533825,-60.626752718148
0.36088,-60.4443808941307
0.3683775,-60.265757856989
0.375875,-60.0907324444987
0.3833725,-59.9191624485554
0.39087,-59.7509139213433
0.3983675,-59.5858605474308
0.405865,-59.4238830744126
0.4133625,-59.2648687956711
0.42086,-59.1087110796311
0.4283575,-58.9553089405848
0.435855,-58.8045666467553
0.4433525,-58.6563933617902
0.45085,-58.5107028163187
0.4583475,-58.3674130065984
0.465845,-58.2264459176136
0.4733425,-58.0877272682824
0.48084,-57.9511862766876
0.4883375,-57.8167554434725
0.495835,-57.684370351741
0.5033325,-57.5539694819746
0.51083,-57.4254940406354
0.5183275,-57.2988878012577
0.525825,-57.1740969569515
0.5333225,-57.0510699833499
0.54082,-56.9297575111239
0.5483175,-56.8101122072749
0.555815,-56.69208866449
0.5633125,-56.5756432979112
0.57081,-56.4607342487301
0.5783075,-56.3473212940746
0.585805,-56.2353657627004
0.5933025,-56.1248304560447
0.6008,-56.0156795742379
0.6082975,-55.9078786467046
0.615795,-55.8013944670164
0.6232925,-55.6961950316872
0.63079,-55.5922494826296
0.6382875,-55.4895280530109
0.645785,-55.3880020162721
0.6532825,-55.2876436380904
0.66078,-55.1884261310824
0.6682775,-55.0903236120649
0.675775,-54.9933110616996
0.6832725,-54.8973642863652
0.69077,-54.8024598821115
0.6982675,-54.708575200559
0.705765,-54.6156883166206
0.7132625,-54.5237779979297
0.72076,-54.4328236758675
0.7282575,-54.3428054180897
0.735755,-54.2537039024614
0.7432525,-54.1655003923134
0.75075,-54.0781767129422
0.7582475,-53.9917152292764
0.765745,-53.9060988246446
0.7732425,-53.8213108805766
0.78074,-53.7373352575807
0.7882375,-53.6541562768402
0.795735,-53.5717587027763
0.8032325,-53.4901277264301
0.81073,-53.4092489496165
0.8182275,-53.3291083698082
0.825725,-53.2496923657098
0.8332225,-53.1709876834844
0.84072,-53.0929814235977
0.8482175,-53.0156610282464
0.855715,-52.9390142693407
0.8632125,-52.8630292370112
0.87071,-52.7876943286135
0.8782075,-52.7129982382047
0.885705,-52.638929946467
0.8932025,-52.5654787110579
0.9007,-52.4926340573627
0.9081975,-52.4203857696318
0.915695,-52.3487238824822
0.9231925,-52.2776386727462
0.93069,-52.2071206516502
0.9381875,-52.1371605573076
0.945685,-52.0677493475113
0.9531825,-51.9988781928101
0.96068,-51.9305384698586
0.9681775,-51.8627217550239
0.975675,-51.7954198182409
0.9831725,-51.7286246171024
0.99067,-51.6623282911742
0.9981675,-51.596523156525
1.005665,-51.5312017004611
1.0131625,-51.4663565764573
1.02066,-51.4019805992749
1.0281575,-51.3380667402583
1.035655,-51.2746081228035
1.0431525,-51.21159801799
1.05065,-51.1490298403693
1.0581475,-51.0868971439034
1.065645,-51.0251936180476
1.0731425,-50.9639130839701
1.08064,-50.9030494909039
1.0881375,-50.8425969126253
1.095635,-50.782549544053
1.1031325,-50.7229016979639
1.11063,-50.6636478018201
1.1181275,-50.6047823947033
1.125625,-50.5463001243514
1.1331225,-50.4881957442939
1.14062,-50.4304641110819
1.1481175,-50.3731001816093
1.155615,-50.3160990105214
1.1631125,-50.259455747707
1.17061,-50.2031656358717
1.1781075,-50.147224008189
1.185605,-50.0916262860256
1.1931025,-50.0363679767391
1.2006,-49.9814446715445
1.2080975,-49.9268520434471
1.215595,-49.8725858452405
1.2230925,-49.8186419075648
1.23059,-49.7650161370256
1.2380875,-49.7117045143698
1.245585,-49.658703092716
1.2530825,-49.6060079958394
1.26058,-49.5536154165069
1.2680775,-49.501521614862
1.275575,-49.4497229168579
1.2830725,-49.3982157127358
1.29057,-49.346996455548
1.2980675,-49.2960616597246
1.305565,-49.2454078996798
1.3130625,-49.1950318084605
1.32056,-49.1449300764313
1.3280575,-49.0950994499982
1.335555,-49.0455367303676
1.3430525,-48.9962387723405
1.35055,-48.9472024831403
1.3580475,-48.8984248212725
1.365545,-48.849902795417
1.3730425,-48.8016334633492
1.38054,-48.7536139308922
1.3880375,-48.7058413508963
1.395535,-48.6583129222463
1.4030325,-48.6110258888953
1.41053,-48.5639775389248
1.4180275,-48.5171652036291
1.425525,-48.4705862566242
1.4330225,-48.4242381129797
1.44052,-48.3781182283741
1.4480175,-48.3322240982714
1.455515,-48.2865532571189
1.4630125,-48.2411032775659
1.47051,-48.1958717697024
1.4780075,-48.1508563803171
1.485505,-48.1060547921736
1.4930025,-48.0614647233058
1.5005,-48.0170839263299
1.5079975,-47.9729101877743
1.515495,-47.9289413274255
1.5229925,-47.8851751976904
1.53049,-47.8416096829745
1.5379875,-47.7982426990743
1.545485,-47.7550721925853
1.5529825,-47.7120961403241
1.56048,-47.6693125487641
1.5679775,-47.6267194534846
1.575475,-47.5843149186335
1.5829725,-47.5420970364018
1.59047,-47.5000639265117
1.5979675,-47.4582137357152
1.605465,-47.4165446373055
1.6129625,-47.3750548306388
1.62046,-47.3337425406682
1.6279575,-47.292606017487
1.635455,-47.2516435358831
1.6429525,-47.2108533949038
1.65045,-47.1702339174293
1.6579475,-47.129783449757
1.665445,-47.089500361194
1.6729425,-47.0493830436596
1.68044,-47.0094299112957
1.6879375,-46.9696394000861
1.695435,-46.9300099674846
1.7029325,-46.89054009205
1.71043,-46.8512282730903
1.7179275,-46.8120730303136
1.725425,-46.7730729034867
1.7329225,-46.7342264521014
1.74042,-46.6955322550469
1.7479175,-46.6569889102903
1.755415,-46.6185950345628
1.7629125,-46.5803492630528
1.77041,-46.5422502491052
1.7779075,-46.5042966639274
1.785405,-46.4664871963008
1.7929025,-46.4288205522979
1.8004,-46.391295455006
1.8078975,-46.3539106442559
1.815395,-46.3166648763561
1.8228925,-46.279556923832
1.83039,-46.2425855751714
1.8378875,-46.2057496345732
1.845385,-46.1690479217028
1.8528825,-46.1324792714511
1.86038,-46.0960425336987
1.8678775,-46.0597365730843
1.875375,-46.0235602687782
1.8828725,-45.9875125142591
1.89037,-45.951592217096
1.8978675,-45.9157982987338
1.905365,-45.8801296942829
1.9128625,-45.8445853523129
1.92036,-45.8091642346501
1.9278575,-45.7738653161786
1.935355,-45.7386875846449
1.9428525,-45.7036300404663
