"Freq [GHz]","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))_1 []"
0.001,-89.9999964434904,1157916.38535838
0.0084975,-90.0001735692422,137046.504063766
0.015995,-89.9998544200236,72811.5282845117
0.0234925,-89.999873862156,49574.6529293365
0.03099,-89.9998651846321,37581.0000933252
0.0384875,-89.9998490930161,30260.0703980364
0.045985,-89.9998295421314,25326.3442292557
0.0534825,-89.9998078456738,21775.8743943131
0.06098,-89.9997845424498,19098.4501671781
0.0684775,-89.9997598690869,17007.3078654367
0.075975,-89.9997339225463,15328.8787703147
0.0834725,-89.9997067274094,13951.9536122283
0.09097,-89.999678267495,12801.985227849
0.0984675,-89.9996485021492,11827.131012361
0.105965,-89.9996209189254,10990.2216884552
0.1134625,-89.9995941028783,10263.9110142257
0.12096,-89.9995672852007,9627.63304761163
0.1284575,-89.9995404659374,9065.62334801142
0.135955,-89.9995136451081,8565.59491675316
0.1434525,-89.9994868227182,8117.82946038421
0.15095,-89.9994599987546,7714.5394695466
0.1584475,-89.9994331731989,7349.41141302699
0.165945,-89.9994063460201,7017.27277805246
0.1734425,-89.9993795171865,6713.84573769548
0.18094,-89.9993526866551,6435.55952269294
0.1884375,-89.9993258543864,6179.41551842405
0.195935,-89.9992990203311,5942.8707733346
0.2034325,-89.999272184442,5723.75840165524
0.21093,-89.999245346668,5520.21951791618
0.2184275,-89.9992185069566,5330.6504511766
0.225925,-89.9991916652544,5153.66040454721
0.2334225,-89.9991648215072,4988.03726921631
0.24092,-89.9991379756595,4832.71982075918
0.2484175,-89.9991111276543,4686.77495005351
0.255915,-89.9990842774353,4549.37889648091
0.2634125,-89.9990574249452,4419.80168604698
0.27091,-89.9990305701272,4297.3941535595
0.2784075,-89.9990037129228,4181.57706175237
0.285905,-89.998976853275,4071.83193242987
0.2934025,-89.9989499911245,3967.69328339462
0.3009,-89.9989231264139,3868.74202596525
0.3083975,-89.9988962590854,3774.59982557745
0.315895,-89.9988693890805,3684.92426546266
0.3233925,-89.998842516342,3599.40468307534
0.33089,-89.9988156408098,3517.75857256419
0.3383875,-89.9987887624273,3439.72846549621
0.345885,-89.9987618811374,3365.07921726645
0.3533825,-89.9987349968811,3293.59563894326
0.36088,-89.9987081096012,3225.08042431257
0.3683775,-89.9986812192409,3159.35233006435
0.375875,-89.9986543257423,3096.24457377578
0.3833725,-89.9986274290491,3035.60341987528
0.39087,-89.9986005291042,2977.28692834715
0.3983675,-89.9985736258507,2921.16384473668
0.405865,-89.9985467192322,2867.11261318412
0.4133625,-89.9985198091935,2815.02049686725
0.42086,-89.9984928956776,2764.78279245827
0.4283575,-89.9984659786297,2716.30212707643
0.435855,-89.998439057994,2669.48782780279
0.4433525,-89.9984121337152,2624.2553551676
0.45085,-89.9983852057392,2580.52579316315
0.4583475,-89.9983582740104,2538.22538930997
0.465845,-89.9983313384749,2497.28513913712
0.4733425,-89.9983043990782,2457.64041015223
0.48084,-89.9982774557669,2419.23060099102
0.4883375,-89.9982505084872,2381.99883196548
0.495835,-89.9982235571859,2345.8916636874
0.5033325,-89.99819660181,2310.85884083955
0.51083,-89.9981696423064,2276.85305851123
0.5183275,-89.998142678623,2243.82974881311
0.525825,-89.9981157107072,2211.74688574753
0.5333225,-89.9980887385069,2180.56480653767
0.54082,-89.9980617619711,2150.24604781846
0.5483175,-89.9980347810477,2120.75519526669
0.555815,-89.9980077956859,2092.05874540126
0.5633125,-89.9979808058344,2064.12497841994
0.57081,-89.9979538114425,2036.9238410576
0.5783075,-89.9979268124604,2010.42683855663
0.585805,-89.9978998088373,1984.6069349332
0.5933025,-89.9978728005237,1959.43846080537
0.6008,-89.9978457874696,1934.89702812269
0.6082975,-89.9978187696258,1910.95945120162
0.615795,-89.9977917469431,1887.60367352959
0.6232925,-89.9977647193728,1864.80869985177
0.63079,-89.9977376868657,1842.55453310107
0.6382875,-89.9977106493739,1820.82211577327
0.645785,-89.9976836068482,1799.5932753858
0.6532825,-89.997656559242,1778.85067369232
0.66078,-89.9976295065061,1758.57775935464
