Position,Real,Imag,Abs (µA),Position (mm)
89,-4.23E-10,-1.21E-05,0012.0576317998644,0
88,-4.07E-10,-1.16E-05,0011.5848111199637,0.0561797752808989
87,-3.92E-10,-1.12E-05,0011.1751626974262,0.112359550561798
86,-3.87E-10,-1.10E-05,0011.0057125632632,0.168539325842697
85,-3.77E-10,-1.07E-05,0010.7182471546522,0.224719101123596
84,-3.66E-10,-1.04E-05,0010.4089296106227,0.280898876404494
83,-3.58E-10,-1.02E-05,0010.1744338360313,0.337078651685393
82,-3.57E-10,-1.01E-05,0010.1374912860253,0.393258426966292
81,-3.46E-10,-9.84E-06,0009.84176615226376,0.449438202247191
80,-3.38E-10,-9.61E-06,0009.60976679820735,0.50561797752809
79,-3.33E-10,-9.47E-06,0009.46518203325576,0.561797752808989
78,-3.26E-10,-9.25E-06,0009.24942147220507,0.617977528089888
77,-3.23E-10,-9.18E-06,0009.18083214243457,0.674157303370787
76,-3.17E-10,-8.99E-06,0008.99134132526054,0.730337078651685
75,-3.14E-10,-8.91E-06,0008.91021804720997,0.786516853932584
74,-3.08E-10,-8.72E-06,0008.72370979730727,0.842696629213483
73,-3.02E-10,-8.55E-06,0008.55095254260299,0.898876404494382
72,-2.99E-10,-8.47E-06,0008.46715408895904,0.955056179775281
71,-2.94E-10,-8.34E-06,0008.34369071976489,1.01123595505618
70,-2.88E-10,-8.17E-06,0008.17383474249714,1.06741573033708
69,-2.84E-10,-8.05E-06,0008.0510138548734,1.12359550561798
68,-2.80E-10,-7.93E-06,0007.93381485488438,1.17977528089888
67,-2.75E-10,-7.79E-06,0007.79253068152886,1.23595505617978
66,-2.72E-10,-7.69E-06,0007.68676317153152,1.29213483146067
65,-2.66E-10,-7.53E-06,0007.52582077590002,1.34831460674157
64,-2.62E-10,-7.41E-06,0007.40965481017579,1.40449438202247
63,-2.57E-10,-7.28E-06,0007.28276109386912,1.46067415730337
62,-2.55E-10,-7.21E-06,0007.20537448456457,1.51685393258427
61,-2.49E-10,-7.04E-06,0007.04238660187119,1.57303370786517
60,-2.45E-10,-6.92E-06,0006.91989429631352,1.62921348314607
59,-2.42E-10,-6.84E-06,0006.83825711226395,1.68539325842697
58,-2.39E-10,-6.74E-06,0006.74391477541304,1.74157303370787
57,-2.33E-10,-6.57E-06,0006.57469210375445,1.79775280898876
56,-2.30E-10,-6.50E-06,0006.49630991014863,1.85393258426966
55,-2.27E-10,-6.40E-06,0006.40298057452954,1.91011235955056
54,-2.22E-10,-6.28E-06,0006.27723643890363,1.96629213483146
53,-2.20E-10,-6.22E-06,0006.21719115118277,2.02247191011236
52,-2.17E-10,-6.13E-06,0006.12914590980827,2.07865168539326
51,-2.11E-10,-5.96E-06,0005.95907807891146,2.13483146067416
50,-2.08E-10,-5.86E-06,0005.85543264119005,2.19101123595506
49,-2.05E-10,-5.77E-06,0005.77457091979068,2.24719101123596
48,-2.00E-10,-5.63E-06,0005.63050727941754,2.30337078651685
47,-1.96E-10,-5.51E-06,0005.51036886739253,2.35955056179775
46,-1.92E-10,-5.41E-06,0005.40783138155034,2.41573033707865
45,-1.87E-10,-5.28E-06,0005.2805750438093,2.47191011235955
44,-1.85E-10,-5.20E-06,0005.19877824614988,2.52808988764045
43,-1.80E-10,-5.08E-06,0005.08001246359308,2.58426966292135
42,-1.76E-10,-4.95E-06,0004.95292651454012,2.64044943820225
41,-1.74E-10,-4.90E-06,0004.90074104213988,2.69662921348315
40,-1.71E-10,-4.82E-06,0004.81517725671857,2.75280898876405
39,-1.68E-10,-4.72E-06,0004.72023384857839,2.80898876404494
38,-1.64E-10,-4.60E-06,0004.60142323695109,2.86516853932584
37,-1.60E-10,-4.49E-06,0004.49112891307923,2.92134831460674
36,-1.56E-10,-4.38E-06,0004.37704081988894,2.97752808988764
35,-1.53E-10,-4.30E-06,0004.30357277340411,3.03370786516854
34,-1.50E-10,-4.23E-06,0004.22910584583808,3.08988764044944
33,-1.46E-10,-4.10E-06,0004.10372070521923,3.14606741573034
32,-1.40E-10,-3.94E-06,0003.9408705481167,3.20224719101124
31,-1.37E-10,-3.86E-06,0003.85919420715707,3.25842696629214
30,-1.34E-10,-3.77E-06,0003.76604997026662,3.31460674157303
29,-1.29E-10,-3.63E-06,0003.63182892477005,3.37078651685393
28,-1.27E-10,-3.55E-06,0003.55022834204092,3.42696629213483
27,-1.24E-10,-3.47E-06,0003.46878874213305,3.48314606741573
26,-1.19E-10,-3.33E-06,0003.33128778658859,3.53932584269663
25,-1.16E-10,-3.27E-06,0003.26599688350631,3.59550561797753
24,-1.12E-10,-3.15E-06,0003.14676562061157,3.65168539325843
23,-1.08E-10,-3.02E-06,0003.02193464304249,3.70786516853933
22,-1.05E-10,-2.95E-06,0002.95304860860407,3.76404494382023
21,-1.02E-10,-2.86E-06,0002.85591568220578,3.82022471910112
20,-9.48E-11,-2.66E-06,0002.65613050735649,3.87640449438202
19,-9.27E-11,-2.60E-06,0002.59677432908616,3.93258426966292
18,-8.91E-11,-2.49E-06,0002.49496149624939,3.98876404494382
17,-8.51E-11,-2.38E-06,0002.3832448440244,4.04494382022472
16,-8.12E-11,-2.27E-06,0002.27378578897966,4.10112359550562
15,-7.75E-11,-2.17E-06,0002.16953618870159,4.15730337078652
14,-7.33E-11,-2.05E-06,0002.05129145925498,4.21348314606742
13,-6.99E-11,-1.95E-06,0001.953951394995,4.26966292134831
12,-6.60E-11,-1.85E-06,0001.8459685313163,4.32584269662921
11,-6.19E-11,-1.73E-06,0001.72996703103651,4.38202247191011
10,-5.77E-11,-1.61E-06,0001.6121893955467,4.43820224719101
9,-5.35E-11,-1.50E-06,0001.49544900569591,4.49438202247191
8,-4.97E-11,-1.39E-06,0001.38838385696665,4.55056179775281
7,-4.57E-11,-1.28E-06,0001.27551838753698,4.60674157303371
6,-4.17E-11,-1.16E-06,0001.1635399945768,4.66292134831461
5,-3.68E-11,-1.03E-06,0001.02666174145386,4.71910112359551
4,-3.23E-11,-9.01E-07,0000.901089548359103,4.77528089887641
3,-2.75E-11,-7.67E-07,0000.766959588597457,4.8314606741573
2,-2.22E-11,-6.18E-07,0000.618389064875583,4.8876404494382
1,-1.64E-11,-4.57E-07,0000.457404634004372,4.9438202247191
