Position,Imag,Real,Abs (mA),Position (mm)
89,-0.00364439281426183,-0.0369926385473312,37.1717218551702,0
88,-0.00351504498262836,-0.0356569827949932,35.8298194702728,0.0561797752808989
87,-0.003397376077179, -0.0344466698368104,34.6138011067264,0.112359550561798
86,-0.00335007368877373, -0.0339524596109342,34.117334411591,0.168539325842697
85,-0.00327221719314081,-0.033150395902297,33.3115018250171,0.224719101123596
84,-0.00318399899303665,-0.0322461761395558,32.4029894486746,0.280898876404494
83,-0.00311600180686937,-0.0315473766185348,31.7008901889535,0.337078651685393
82,-0.00310827885482563,-0.0314575534419944,31.6107428890131,0.393258426966292
81,-0.00302050781171942,-0.0305592255364986,30.7081378926051,0.449438202247191
80,-0.00295205911683229,-0.0298574910670908,30.003073606727,0.50561797752809
79,-0.00291002647507027,-0.0294239255037449,29.5674761543074,0.561797752808989
78,-0.00284627811706765,-0.0287701253179384,28.9105760912781,0.617977528089888
77,-0.00282727065108815,-0.0285702709654107,28.7098213573595,0.674157303370787
76,-0.00277107687996262,-0.0279949250339214,28.1317382102412,0.730337078651685
75,-0.00274848261375799,-0.0277585183380665,27.8942556273313,0.786516853932584
74,-0.0026933501492098,-0.0271943931378982,27.3274432240708,0.842696629213483
73,-0.00264381452332987,-0.0266868165390414,26.8174557373033,0.898876404494382
72,-0.0026201364770558,-0.0264402473089576,26.5697533469402,0.955056179775281
71,-0.00258375582175526,-0.0260664945832385,26.1942347474488,1.01123595505618
70,-0.00253301442200059,-0.0255475178253112,25.6727838205493,1.06741573033708
69,-0.00249696048815017,-0.0251765476214474,25.3000664389324,1.12359550561798
68,-0.00246258341916508,-0.0248242273522319,24.9460734531839,1.17977528089888
67,-0.00242038770862913,-0.0243922807391631,24.5120712368056,1.23595505617978
66,-0.00239200531281686,-0.0240997676594923,24.2181851231271,1.29213483146067
65,-0.00234381593415492,-0.0236086342699555,23.7246935749593,1.34831460674157
64,-0.00230925774858385,-0.0232548255725537,23.3692016072285,1.40449438202247
63,-0.00227127954636895,-0.0228664004041688,22.9789246532888,1.46067415730337
62,-0.00224860561683502,-0.0226324945852179,22.7439231086016,1.51685393258427
61,-0.00219958604683239,-0.0221331067116625,22.2421354974575,1.57303370786517
60,-0.00216296313288959,-0.021758638323478,21.8658809839934,1.62921348314607
59,-0.00213864260668748,-0.0215092489126329,21.6153089495556,1.68539325842697
58,-0.00211039692532876,-0.021220070328666,21.3247546278021,1.74157303370787
57,-0.00205894260562943,-0.0206970075077568,20.7991673975046,1.79775280898876
56,-0.00203562283565636,-0.0204574009433245,20.5584292611323,1.85393258426966
55,-0.00200750951377562,-0.020170206029771,20.2698620057293,1.91011235955056
54,-0.00196926877430925,-0.0197812186058188,19.8789996990961,1.96629213483146
53,-0.00195167084682293,-0.0195995743789003,19.6965056527391,2.02247191011236
52,-0.00192513336033326,-0.01932826995094,19.4239068611718,2.07865168539326
51,-0.00187276231247721,-0.0187987606055987,18.8918140734458,2.13483146067416
50,-0.00184131016726575,-0.0184779767627776,18.5694924103441,2.19101123595506
49,-0.00181693254788473,-0.0182286815838782,18.3190086022684,2.24719101123596
48,-0.00177258990262962,-0.0177792752901057,17.867420205622,2.30337078651685
47,-0.00173570640944762,-0.0174055464060009,17.4918758980062,2.35955056179775
46,-0.00170428576659539,-0.0170865016185268,17.1712878822218,2.41573033707865
45,-0.00166509109935952,-0.0166891008083322,16.7719591628361,2.47191011235955
44,-0.00164018272494996,-0.016435603941735,16.5172417885311,2.52808988764045
43,-0.00160352741568863,-0.0160646345604089,16.1444660404842,2.58426966292135
42,-0.00156422396244146,-0.0156673404835171,15.7452327525232,2.64044943820225
41,-0.00154855225872985,-0.0155065598434621,15.5836905858942,2.69662921348315
40,-0.00152228404138153,-0.0152397245101423,15.315565671815,2.75280898876405
39,-0.00149299201051811,-0.0149430146975191,15.0174136719258,2.80898876404494
38,-0.00145614034900201,-0.0145704705873026,14.6430515211633,2.86516853932584
37,-0.0014218540749159,-0.0142242363840239,14.2951239840354,2.92134831460674
36,-0.00138638157870657,-0.0138660225225438,13.9351582150139,2.97752808988764
35,-0.00136371678287337,-0.0136359899450179,13.7040120127107,3.03370786516854
34,-0.0013407062600214,-0.0134026903587818,13.4695806218695,3.08988764044944
33,-0.00130150657071597,-0.0130080123258839,13.0729607979204,3.14606741573034
32,-0.00125045968652542,-0.0124946922235874,12.5571088706677,3.20224719101124
31,-0.00122499834714623,-0.0122375322616357,12.2986916704618,3.25842696629214
30,-0.00119588999615174,-0.0119439105509246,12.0036307895313,3.31460674157303
29,-0.00115372704013286,-0.0115199061588768,11.5775353159669,3.37078651685393
28,-0.00112820384391111,-0.0112625173380196,11.3188842516658,3.42696629213483
27,-0.00110271273129687,-0.011005777421757,11.0608820636069,3.48314606741573
26,-0.00105945828380776,-0.0105707200298484,10.6236798617319,3.53932584269663
25,-0.00103901932954233,-0.0103644208612761,10.4163708150592,3.59550561797753
24,-0.00100139876004373,-0.00998717353745099,10.0372523503087,3.65168539325843
23,-0.000961964227438248,-0.00959175716729204,9.63987451843483,3.70786516853933
22,-0.000940240550494079,-0.00937280214565923,9.41984460352015,3.76404494382023
21,-0.000909548294662501,-0.00906460020756649,9.11011827713219,3.82022471910112
20,-0.000851759172115426,-0.00848634546128172,8.5289831149733,3.87640449438202
19,-0.000832186523763581,-0.00828974180624038,8.33140766164177,3.93258426966292
18,-0.000799837663289867,-0.00796584424742052,8.00589875415494,3.98876404494382
17,-0.000764859066174541,-0.00761531740535912,7.65363107129387,4.04494382022472
16,-0.000730019206611089,-0.00726666077142027,7.30323810435613,4.10112359550562
15,-0.000696811361822381,-0.00693485255034035,6.96977230395132,4.15730337078652
14,-0.000659062058902425,-0.006557794697557,6.59082954511732,4.21348314606742
13,-0.000628097458989679,-0.00624789450827911,6.27938629203313,4.26966292134831
12,-0.000593657499087591,-0.00590358349417098,5.93335716933263,4.32584269662921
11,-0.000556558418820644,-0.00553342575107331,5.56134496468268,4.38202247191011
10,-0.000518907630944888,-0.00515743589024098,5.18347471214036,4.43820224719101
9,-0.000481518278189135,-0.00478534816305048,4.80951316599101,4.49438202247191
8,-0.000447280195954494,-0.0044436921226269,4.46614590607936,4.55056179775281
7,-0.000411059673179504,-0.00408299364287103,4.10363340743781,4.60674157303371
6,-0.000375130564138427,-0.00372494864198061,3.74379023524877,4.66292134831461
5,-0.000331148782976319,-0.00328697039777937,3.30360922512705,4.71910112359551
4,-0.000290754574193763,-0.0028860814319092,2.90069030646597,4.77528089887641
3,-0.000247601575199624,-0.00245581183177994,2.46826220105395,4.8314606741573
2,-0.000199738442366374,-0.00198025521141438,1.99030302911209,4.8876404494382
1,-7.30E-05,-0.000716868645732589,0.7205785040336,4.9438202247191
