Phase [deg],Freq [GHz],Magnetic Energy (J)
0,0.001,9.13831159081356E-20
0,0.104413793103448,1.00342223840146E-15
0,0.207827586206897,3.95019738383699E-15
0,0.311241379310345,8.86358687721705E-15
0,0.414655172413793,1.57515308428468E-14
0,0.518068965517241,2.46313117339082E-14
0,0.62148275862069,3.55209280033296E-14
0,0.724896551724138,4.84466159847291E-14
0,0.828310344827586,6.34403631093539E-14
0,0.931724137931034,8.05404214528587E-14
0,1.03513793103448,9.97896455634482E-14
0,1.13855172413793,1.21239207667334E-13
0,1.24196551724138,1.44948538150687E-13
0,1.34537931034483,1.70988118128232E-13
0,1.44879310344828,1.99435848620647E-13
0,1.55220689655172,2.30386289982678E-13
0,1.65562068965517,2.63946391368874E-13
0,1.75903448275862,3.00245707638404E-13
0,1.86244827586207,3.39432484342564E-13
0,1.96586206896552,3.81688489585831E-13
0,2.06927586206897,4.2722972880098E-13
0,2.17268965517241,4.76323786020698E-13
0,2.27610344827586,5.29299607667679E-13
0,2.37951724137931,5.86577867846216E-13
0,2.48293103448276,6.48697163352713E-13
0,2.58634482758621,7.16371199251492E-13
0,2.68975862068966,7.90568758229636E-13
0,2.7931724137931,8.72642401331219E-13
0,2.89658620689655,9.64544994609579E-13
0,3,1.06921172785512E-12
