"Freq [GHz]","dB(S(waveport1:1,waveport3:1)) []","dB(S(waveport1:1,waveport2:1)) []","dB(S(waveport1:1,waveport4:1)) []","ang_rad(S(waveport1:1,waveport3:1)) [rad]","ang_rad(S(waveport1:1,waveport2:1)) [rad]","ang_rad(S(waveport1:1,waveport4:1)) [rad]"
0.001,-107.427278603039,-3.94853524463884E-10,-115.28371667997,1.56869638410643,-0.00209808219255805,1.56868596249491
0.0084975,-88.8414584244093,-1.4671059186197E-08,-96.697892420505,1.55295213756299,-0.0178282588048911,1.55286322261615
0.015995,-83.3476028798041,-5.20429386615008E-08,-91.2040290596017,1.53720784831459,-0.033558458061621,1.53704054992909
0.0234925,-80.0087128318466,-1.1223718737602E-07,-87.8651266565399,1.52146357429632,-0.0492886574305965,1.52121797391888
0.03099,-77.6028795380417,-1.94959940502792E-07,-85.459278664796,1.5057193132148,-0.0650188568855602,1.50539567662273
0.0384875,-75.720934274002,-2.99929532123361E-07,-83.5773275198047,1.48997506575572,-0.0807490564352293,1.48957538048148
0.045985,-74.175025469424,-4.26878732460933E-07,-82.0312773295097,1.47423083255355,-0.0964792560922425,1.47375372277709
0.0534825,-72.8631399853452,-5.75610469612131E-07,-80.7193890759453,1.45848661329946,-0.112209455867611,1.45792747801526
0.06098,-71.7236540008627,-7.46070314191729E-07,-79.5798619583107,1.44274240633095,-0.12793965576848,1.44210488449191
0.0684775,-70.7164766143062,-9.38432541721874E-07,-78.5726286491291,1.42699820833841,-0.143669855796523,1.42628252485497
0.075975,-69.814056245528,-1.15319919803272E-06,-77.6701405745326,1.41125401410976,-0.159400055946377,1.41046024348404
0.0834725,-68.9966416165084,-1.39131195167238E-06,-76.852646536657,1.39550981629103,-0.175130256203945,1.39463800201053
0.09097,-68.2495894996083,-1.6542766079725E-06,-76.1055026427168,1.3797656051555,-0.190860456544486,1.37881577048604
0.0984675,-67.561742285686,-1.94430018256198E-06,-75.4175503120163,1.36402136837896,-0.206590656930433,1.36299351401923
0.105965,-66.9244024815561,-2.25860333812746E-06,-74.7801066657799,1.3482771173912,-0.222320857629984,1.34717102477884
0.1134625,-66.3306588680102,-2.59499753642949E-06,-74.1862550434271,1.33253288555348,-0.23805105859899,1.33134860964506
0.12096,-65.7749284909448,-2.95401277362627E-06,-73.6304091972733,1.31678867285676,-0.253781259794668,1.31552633500916
0.1284575,-65.2526366659711,-3.3355773152107E-06,-73.1079944272926,1.3010444795134,-0.269511461232992,1.29970420315755
