"shielding_material_thickness [um]","dB(S(waveport1:1,waveport2:1)) []"
1,70.0235161756832
1.5,73.4678162276458
2,75.8892202299624
2.5,77.693671963696
3,79.0255189813245
3.5,79.8821549304902
4,80.4901303514797
4.5,81.0564064264436
5,81.664188875442
5.5,82.0167259151839
6,82.5147570064671
6.5,82.9722156701795
7,83.3678357376057
7.5,83.7487095850741
8,84.4423288914855
8.5,85.0975711477694
9,84.9813814503405
9.5,85.4948289719008
10,86.0331810121152
10.5,86.3664455236254
11,86.8730006914451
11.5,87.3302158973158
12,87.5236977211269
12.5,87.8739460015173
13,88.5720402578313
13.5,88.5570781166894
14,88.9159504830326
14.5,89.3602741187603
15,89.3816377014803
15.5,89.800551129303
16,90.1346288496525
16.5,90.3348935421322
17,90.7201929977722
17.5,90.9982338165919
18,91.070812189933
18.5,91.3382991822789
19,91.6484949694498
19.5,91.9288716566642
20,92.288428292316
20.5,92.3204010164504
21,92.5260476951944
21.5,93.1929759183803
22,93.7655988368263
22.5,93.3313541269087
23,93.2900924221209
23.5,93.5498004989105
24,93.9136369203037
24.5,94.017488497659
25,94.1835044238987
25.5,94.4848405029422
26,94.4721121258633
26.5,94.6397019793981
27,94.9110154156674
27.5,94.9302717024336
28,95.0983324841152
28.5,95.3337526409147
29,95.9564188501481
29.5,95.6633549880817
30,95.9879488560566
30.5,96.2159744530307
31,96.3799390956165
31.5,96.404942300521
32,96.4594432291116
32.5,96.5034668632409
33,96.8827808025512
33.5,96.7076656759606
34,96.7981497048136
34.5,97.1180372156255
35,97.3149641157743
35.5,97.5050073177043
36,97.610109030153
36.5,97.6578279433016
37,97.9408724301511
37.5,98.0134894599063
38,97.9491585453313
38.5,98.3517034265645
39,98.2413009444936
39.5,98.378658094474
40,98.4944624834047
40.5,98.8608142785359
41,98.7856958530688
41.5,99.070014009165
42,99.3294538995161
42.5,99.5374430343742
43,99.2332481801528
43.5,99.4349410152202
44,99.4904722591403
44.5,99.6403995660185
45,99.7635040988841
45.5,99.6826935196362
46,99.7127719869264
46.5,99.6913183932914
47,100.061238496986
47.5,100.094565982105
48,100.483014651785
48.5,100.580470869946
49,100.339991096466
49.5,100.428356010947
50,100.738204758865

